运动量,活跃时长,活跃状态,温度,电压,时间
192131,128252,0,3617,3143,2021-11-10 00:00:00
192132,128252,4,3668,3143,2021-11-10 00:04:59
192156,128252,4,3684,3147,2021-11-10 00:09:58
192158,128252,4,3707,3145,2021-11-10 00:14:56
192158,128252,4,3709,3148,2021-11-10 00:20:05
192158,128252,4,3724,3145,2021-11-10 00:25:04
192171,128252,4,3722,3146,2021-11-10 00:30:03
192172,128252,4,3725,3144,2021-11-10 00:35:02
192182,128252,4,3722,3147,2021-11-10 00:40:00
192184,128252,4,3714,3144,2021-11-10 00:45:09
192230,128252,4,3687,3149,2021-11-10 00:50:08
192236,128252,4,3649,3146,2021-11-10 00:55:07
192253,128252,4,3639,3145,2021-11-10 01:00:06
192275,128252,4,3608,3144,2021-11-10 01:05:04
192278,128252,4,3596,3143,2021-11-10 01:10:13
192346,128264,4,3593,3143,2021-11-10 01:15:12
192355,128264,4,3602,3141,2021-11-10 01:20:11
192375,128264,4,3602,3142,2021-11-10 01:25:10
192379,128264,4,3617,3141,2021-11-10 01:29:59
192415,128264,4,3611,3143,2021-11-10 01:35:17
192505,128301,4,3613,3144,2021-11-10 01:40:16
192505,128301,4,3611,3144,2021-11-10 01:45:15
192506,128301,4,3617,3142,2021-11-10 01:50:14
192509,128301,4,3604,3144,2021-11-10 01:55:13
192509,128301,4,3617,3142,2021-11-10 02:00:22
192553,128313,0,3613,3144,2021-11-10 02:05:20
192556,128313,4,3620,3146,2021-11-10 02:10:19
192594,128313,4,3611,3143,2021-11-10 02:15:18
192623,128313,4,3611,3140,2021-11-10 02:20:17
192662,128326,4,3620,3143,2021-11-10 02:25:26
192666,128326,4,3624,3142,2021-11-10 02:30:25
192666,128326,4,3633,3145,2021-11-10 02:35:33
192673,128326,4,3640,3143,2021-11-10 02:40:22
192693,128326,4,3628,3143,2021-11-10 02:45:21
192751,128349,4,3608,3143,2021-11-10 02:50:30
192757,128349,4,3599,3143,2021-11-10 02:55:29
192758,128349,4,3608,3146,2021-11-10 03:00:28
192764,128349,4,3619,3148,2021-11-10 03:05:26
192764,128349,4,3606,3144,2021-11-10 03:10:25
192792,128349,4,3633,3145,2021-11-10 03:18:03
192891,128422,0,3635,3143,2021-11-10 03:23:02
192893,128422,4,3608,3140,2021-11-10 03:28:01
192896,128422,4,3597,3147,2021-11-10 03:33:00
192920,128422,4,3602,3146,2021-11-10 03:38:09
192921,128422,4,3633,3143,2021-11-10 03:43:08
192969,128422,4,3620,3144,2021-11-10 03:48:06
192969,128422,4,3613,3145,2021-11-10 03:53:05
192974,128422,4,3604,3146,2021-11-10 03:58:04
192979,128422,4,3604,3142,2021-11-10 04:03:13
192979,128422,4,3606,3145,2021-11-10 04:08:12
192996,128422,4,3604,3144,2021-11-10 04:13:11
193093,128422,4,3606,3143,2021-11-10 04:18:09
