运动量,活跃时长,活跃状态,温度,电压,时间
177665,106840,4,3734,3175,2021-11-10 00:00:25
177665,106840,4,3743,3177,2021-11-10 00:05:27
177672,106840,4,3741,3179,2021-11-10 00:10:29
177696,106840,4,3736,3176,2021-11-10 00:15:31
177710,106840,4,3743,3178,2021-11-10 00:20:23
177710,106840,4,3741,3180,2021-11-10 00:25:25
177710,106840,4,3741,3177,2021-11-10 00:30:27
177710,106840,4,3750,3179,2021-11-10 00:35:29
177710,106840,4,3749,3178,2021-11-10 00:40:31
177710,106840,4,3750,3179,2021-11-10 00:45:33
177710,106840,4,3747,3179,2021-11-10 00:50:25
177710,106840,4,3749,3181,2021-11-10 00:55:27
177711,106840,4,3761,3178,2021-11-10 01:00:29
177711,106840,4,3758,3178,2021-11-10 01:05:31
177715,106840,4,3756,3176,2021-11-10 01:10:33
177715,106840,4,3750,3179,2021-11-10 01:15:25
177743,106851,4,3725,3177,2021-11-10 01:20:27
177751,106851,4,3732,3178,2021-11-10 01:25:29
177850,106851,4,3698,3178,2021-11-10 01:30:31
177891,106863,4,3696,3176,2021-11-10 01:35:33
177924,106875,4,3705,3180,2021-11-10 01:40:35
177946,106875,4,3709,3173,2021-11-10 01:45:27
177963,106875,4,3717,3179,2021-11-10 01:50:29
177995,106885,4,3716,3175,2021-11-10 01:55:31
177995,106885,4,3726,3175,2021-11-10 02:00:33
177995,106885,4,3740,3175,2021-11-10 02:05:35
177995,106885,4,3740,3174,2021-11-10 02:10:27
178001,106885,4,3745,3178,2021-11-10 02:15:29
178012,106885,4,3747,3178,2021-11-10 02:20:31
178019,106885,4,3745,3181,2021-11-10 02:25:34
178024,106885,4,3743,3176,2021-11-10 02:30:36
178024,106885,4,3750,3180,2021-11-10 02:35:38
178024,106885,4,3741,3177,2021-11-10 02:40:40
178024,106885,4,3747,3178,2021-11-10 02:45:32
178024,106885,4,3749,3178,2021-11-10 02:50:34
178024,106885,4,3747,3177,2021-11-10 02:55:36
178024,106885,4,3754,3175,2021-11-10 03:00:38
178025,106885,4,3745,3176,2021-11-10 03:05:40
178025,106885,4,3750,3177,2021-11-10 03:10:32
178025,106885,4,3754,3178,2021-11-10 03:15:44
178026,106885,4,3750,3178,2021-11-10 03:20:36
178036,106885,4,3752,3179,2021-11-10 03:26:08
178036,106885,4,3761,3180,2021-11-10 03:33:30
178037,106885,4,3745,3176,2021-11-10 03:40:40
178037,106885,4,3750,3178,2021-11-10 03:45:40
178037,106885,4,3752,3178,2021-11-10 03:50:50
178037,106885,4,3752,3178,2021-11-10 03:55:50
178038,106885,4,3745,3177,2021-11-10 04:00:50
178038,106885,4,3745,3178,2021-11-10 04:05:50
178038,106885,4,3749,3175,2021-11-10 04:10:50
178043,106885,4,3740,3178,2021-11-10 04:16:00
178079,106885,4,3703,3179,2021-11-10 04:21:00
178080,106885,4,3705,3178,2021-11-10 04:26:00
178094,106885,4,3690,3176,2021-11-10 04:31:00
178123,106885,4,3689,3177,2021-11-10 04:36:00
178133,106885,4,3707,3182,2021-11-10 04:41:00
178134,106885,4,3717,3176,2021-11-10 04:46:00
178135,106885,4,3721,3178,2021-11-10 04:51:00
