运动量,活跃时长,活跃状态,温度,电压,时间
262919,193015,4,3852,3204,2021/11/10 0:01
262925,193015,4,3861,3204,2021/11/10 0:06
262930,193015,4,3864,3206,2021/11/10 0:11
262960,193015,4,3864,3207,2021/11/10 0:16
262979,193015,4,3870,3209,2021/11/10 0:21
262983,193015,4,3866,3209,2021/11/10 0:26
262997,193015,4,3862,3209,2021/11/10 0:31
262997,193015,4,3868,3207,2021/11/10 0:36
263002,193015,4,3866,3207,2021/11/10 0:41
263012,193015,4,3864,3207,2021/11/10 0:46
263026,193025,4,3860,3205,2021/11/10 0:51
263034,193025,4,3864,3207,2021/11/10 0:56
263054,193036,4,3877,3210,2021/11/10 1:01
263054,193036,4,3873,3205,2021/11/10 1:06
263129,193058,4,3877,3207,2021/11/10 1:11
263201,193075,4,3839,3207,2021/11/10 1:16
263227,193075,4,3816,3208,2021/11/10 1:21
263263,193075,4,3824,3210,2021/11/10 1:26
263266,193075,4,3825,3207,2021/11/10 1:31
263266,193075,4,3816,3209,2021/11/10 1:36
263277,193075,4,3815,3209,2021/11/10 1:41
263296,193075,4,3821,3209,2021/11/10 1:46
263326,193088,0,3818,3210,2021/11/10 1:51
263437,193131,0,3798,3208,2021/11/10 1:56
263478,193144,4,3790,3212,2021/11/10 2:01
263489,193144,4,3801,3209,2021/11/10 2:06
263499,193144,4,3810,3207,2021/11/10 2:11
263499,193144,4,3814,3212,2021/11/10 2:16
263514,193144,4,3807,3209,2021/11/10 2:21
263534,193144,4,3810,3209,2021/11/10 2:26
263535,193144,4,3814,3212,2021/11/10 2:31
263565,193144,4,3812,3211,2021/11/10 2:36
263565,193144,4,3807,3207,2021/11/10 2:41
263604,193144,4,3800,3207,2021/11/10 2:46
263611,193144,4,3800,3209,2021/11/10 2:51
263644,193158,4,3796,3207,2021/11/10 2:56
263721,193211,0,3755,3209,2021/11/10 3:01
263770,193244,0,3755,3210,2021/11/10 3:06
263821,193257,4,3744,3210,2021/11/10 3:11
263898,193279,0,3742,3211,2021/11/10 3:16
264009,193316,0,3750,3207,2021/11/10 3:21
264120,193342,0,3755,3207,2021/11/10 3:26
264222,193365,4,3774,3209,2021/11/10 3:31
264274,193387,4,3771,3212,2021/11/10 3:36
264317,193397,4,3768,3210,2021/11/10 3:41
264412,193446,4,3765,3210,2021/11/10 3:46
264587,193542,0,3728,3208,2021/11/10 3:51
264730,193652,4,3796,3210,2021/11/10 3:56
264846,193736,0,3801,3208,2021/11/10 4:01
264991,193777,4,3818,3209,2021/11/10 4:06
265137,193835,4,3771,3211,2021/11/10 4:11
265291,193939,0,3760,3212,2021/11/10 4:16
265501,194087,0,3780,3208,2021/11/10 4:21
265770,194314,0,3812,3205,2021/11/10 4:26
265922,194454,4,3814,3206,2021/11/10 4:31
265970,194464,4,3820,3206,2021/11/10 4:36
265991,194464,4,3819,3206,2021/11/10 4:41
266090,194486,4,3812,3207,2021/11/10 4:46
266090,194486,4,3805,3208,2021/11/10 4:52
266106,194486,4,3792,3208,2021/11/10 4:56
266117,194486,4,3798,3205,2021/11/10 5:01
266124,194486,4,3796,3207,2021/11/10 5:06
266265,194603,0,3755,3205,2021/11/10 5:11
266562,194901,0,3687,3204,2021/11/10 5:16
266856,195193,0,3639,3207,2021/11/10 5:21
267157,195493,0,3614,3206,2021/11/10 5:27
267384,195693,0,3625,3208,2021/11/10 5:32
267622,195875,0,3639,3207,2021/11/10 5:37
267705,195896,4,3645,3208,2021/11/10 5:42
267980,196157,0,3657,3207,2021/11/10 5:47
268064,196167,4,3706,3207,2021/11/10 5:52
268222,196253,0,3651,3206,2021/11/10 5:57
268579,196443,4,3690,3207,2021/11/10 6:14
270567,197092,4,3717,3210,2021/11/10 9:49
270577,197092,4,3710,3208,2021/11/10 9:54
270588,197092,4,3731,3207,2021/11/10 9:59
270588,197092,4,3744,3207,2021/11/10 10:04
270612,197104,4,3762,3209,2021/11/10 10:09
270629,197104,4,3771,3206,2021/11/10 10:14
270848,197272,0,3780,3203,2021/11/10 10:19
270997,197341,4,3730,3206,2021/11/10 10:24
271241,197534,0,3736,3208,2021/11/10 10:29
271451,197712,0,3760,3204,2021/11/10 10:34
271684,197893,0,3750,3206,2021/11/10 10:39
271839,197980,0,3730,3207,2021/11/10 10:44
272003,198045,4,3712,3207,2021/11/10 10:49
272124,198109,4,3742,3207,2021/11/10 10:54
272291,198213,0,3755,3205,2021/11/10 10:59
272399,198223,4,3731,3209,2021/11/10 11:04
272503,198247,0,3715,3209,2021/11/10 11:09
272625,198270,4,3705,3209,2021/11/10 11:14
272766,198345,4,3706,3207,2021/11/10 11:19
272937,198426,0,3690,3207,2021/11/10 11:24
273033,198467,4,3687,3206,2021/11/10 11:29
273147,198509,0,3703,3207,2021/11/10 11:34
273368,198645,0,3692,3210,2021/11/10 11:39
273487,198691,4,3696,3206,2021/11/10 11:44
273592,198739,0,3701,3207,2021/11/10 11:49
273712,198799,4,3701,3208,2021/11/10 11:54
273963,199028,0,3694,3211,2021/11/10 11:59
274000,199028,4,3694,3206,2021/11/10 12:04
274029,199028,4,3698,3207,2021/11/10 12:09
274141,199067,0,3675,3207,2021/11/10 12:14
274185,199088,0,3670,3206,2021/11/10 12:19
274367,199183,4,3664,3206,2021/11/10 12:24
274491,199193,4,3681,3206,2021/11/10 12:29
274618,199225,0,3666,3207,2021/11/10 12:34
274766,199308,0,3678,3207,2021/11/10 12:39
274957,199433,0,3582,3206,2021/11/10 12:45
275106,199527,0,3577,3209,2021/11/10 12:50
275371,199775,0,3567,3206,2021/11/10 12:55
275679,200083,0,3511,3206,2021/11/10 13:00
275962,200366,0,3450,3207,2021/11/10 13:05
276260,200664,0,3407,3208,2021/11/10 13:10
276560,200964,0,3398,3209,2021/11/10 13:15
276860,201264,0,3385,3211,2021/11/10 13:20
277117,201496,0,3524,3205,2021/11/10 13:25
277315,201632,0,3543,3208,2021/11/10 13:30
277472,201707,0,3542,3204,2021/11/10 13:35
277634,201757,4,3556,3205,2021/11/10 13:40
277729,201783,0,3561,3205,2021/11/10 13:45
277782,201804,0,3534,3207,2021/11/10 13:50
277928,201878,4,3557,3204,2021/11/10 13:55
278130,202052,0,3531,3207,2021/11/10 14:00
278283,202133,4,3485,3206,2021/11/10 14:05
278382,202175,0,3522,3206,2021/11/10 14:10
278462,202208,0,3557,3206,2021/11/10 14:15
278646,202291,0,3604,3208,2021/11/10 14:20
278756,202307,4,3647,3208,2021/11/10 14:25
278932,202386,0,3653,3207,2021/11/10 14:30
278952,202386,4,3685,3205,2021/11/10 14:35
278980,202386,4,3699,3206,2021/11/10 14:40
278993,202386,4,3701,3207,2021/11/10 14:45
279021,202396,4,3713,3205,2021/11/10 14:50
279156,202492,0,3672,3203,2021/11/10 14:55
279445,202772,0,3708,3206,2021/11/10 15:00
279678,202950,0,3747,3203,2021/11/10 15:05
279913,203112,0,3731,3203,2021/11/10 15:11
280110,203284,0,3713,3206,2021/11/10 15:15
280342,203490,0,3699,3206,2021/11/10 15:20
280560,203660,0,3670,3208,2021/11/10 15:25
280774,203835,0,3768,3206,2021/11/10 15:30
281073,204134,0,3807,3205,2021/11/10 15:35
281363,204420,0,3823,3203,2021/11/10 15:40
281648,204685,0,3820,3205,2021/11/10 15:45
281938,204961,0,3827,3202,2021/11/10 15:50
282224,205243,0,3800,3203,2021/11/10 15:55
282500,205482,0,3800,3208,2021/11/10 16:00
282717,205666,0,3803,3206,2021/11/10 16:06
282966,205895,0,3810,3207,2021/11/10 16:11
283166,206026,0,3817,3205,2021/11/10 16:16
283302,206060,0,3822,3206,2021/11/10 16:21
283505,206184,0,3823,3204,2021/11/10 16:26
283673,206241,0,3827,3203,2021/11/10 16:31
283788,206266,4,3837,3206,2021/11/10 16:36
283853,206299,0,3839,3204,2021/11/10 16:41
284041,206390,0,3828,3206,2021/11/10 16:46
284163,206412,4,3823,3204,2021/11/10 16:51
284334,206469,0,3826,3203,2021/11/10 16:56
284519,206537,0,3793,3207,2021/11/10 17:01
284721,206692,0,3795,3202,2021/11/10 17:06
284989,206919,0,3829,3204,2021/11/10 17:11
285201,207070,0,3821,3206,2021/11/10 17:16
285301,207131,4,3746,3206,2021/11/10 17:21
285366,207161,0,3755,3203,2021/11/10 17:26
285525,207288,0,3780,3207,2021/11/10 17:31
285591,207311,4,3739,3209,2021/11/10 17:36
285661,207335,0,3750,3206,2021/11/10 17:41
285709,207348,4,3728,3207,2021/11/10 17:46
285862,207456,0,3666,3204,2021/11/10 17:51
286156,207744,0,3637,3207,2021/11/10 17:56
286454,208045,0,3643,3207,2021/11/10 18:01
286753,208344,0,3653,3207,2021/11/10 18:06
287053,208644,0,3651,3207,2021/11/10 18:11
287353,208944,0,3683,3210,2021/11/10 18:16
287537,209080,0,3703,3207,2021/11/10 18:21
287789,209296,0,3735,3206,2021/11/10 18:26
288030,209525,0,3744,3206,2021/11/10 18:31
288226,209662,0,3737,3206,2021/11/10 18:36
288309,209695,0,3740,3204,2021/11/10 18:41
288472,209827,0,3719,3206,2021/11/10 18:46
288506,209827,4,3722,3204,2021/11/10 18:51
288568,209857,0,3737,3206,2021/11/10 18:56
288578,209857,4,3746,3205,2021/11/10 19:01
288599,209857,4,3746,3206,2021/11/10 19:06
288678,209871,4,3757,3204,2021/11/10 19:11
288699,209871,4,3726,3206,2021/11/10 19:16
288704,209871,4,3692,3207,2021/11/10 19:22
288730,209871,4,3715,3206,2021/11/10 19:27
288745,209871,4,3759,3203,2021/11/10 19:32
288755,209871,4,3818,3201,2021/11/10 19:37
288761,209871,4,3827,3201,2021/11/10 19:42
288804,209888,0,3828,3205,2021/11/10 19:47
288838,209888,4,3780,3204,2021/11/10 19:52
288945,209954,4,3776,3204,2021/11/10 19:57
289042,209993,0,3766,3203,2021/11/10 20:02
289141,210040,0,3755,3204,2021/11/10 20:07
289395,210221,0,3764,3204,2021/11/10 20:12
289554,210309,0,3809,3202,2021/11/10 20:17
289656,210369,4,3823,3203,2021/11/10 20:22
289777,210432,0,3838,3203,2021/11/10 20:27
289777,210432,4,3840,3207,2021/11/10 20:32
289840,210452,0,3850,3204,2021/11/10 20:37
289908,210452,4,3853,3205,2021/11/10 20:42
289946,210452,4,3845,3203,2021/11/10 20:47
