运动量,活跃时长,活跃状态,温度,电压,时间
182532,132885,4,3683,3161,2021-11-10 00:01:03
182537,132885,4,3687,3158,2021-11-10 00:06:04
182537,132885,4,3685,3160,2021-11-10 00:11:04
182560,132885,4,3680,3158,2021-11-10 00:16:05
182585,132885,4,3667,3161,2021-11-10 00:21:06
182591,132885,4,3661,3158,2021-11-10 00:26:07
182614,132885,4,3646,3161,2021-11-10 00:31:08
182626,132885,4,3650,3161,2021-11-10 00:36:09
182631,132885,4,3653,3158,2021-11-10 00:41:10
182637,132885,4,3646,3160,2021-11-10 00:46:11
182640,132885,4,3631,3159,2021-11-10 00:51:11
182654,132885,4,3642,3159,2021-11-10 00:56:12
182655,132885,4,3628,3164,2021-11-10 01:01:13
182670,132885,4,3651,3160,2021-11-10 01:06:14
182714,132885,4,3612,3161,2021-11-10 01:11:15
182745,132885,4,3543,3162,2021-11-10 01:16:16
182812,132885,4,3541,3162,2021-11-10 01:21:27
182839,132885,4,3532,3158,2021-11-10 01:26:18
182946,132885,4,3529,3158,2021-11-10 01:31:18
182967,132885,4,3513,3159,2021-11-10 01:36:19
182968,132885,4,3518,3159,2021-11-10 01:41:20
182968,132885,4,3516,3157,2021-11-10 01:46:21
183018,132895,4,3504,3161,2021-11-10 01:51:22
183064,132920,4,3432,3158,2021-11-10 01:56:23
183064,132920,4,3398,3158,2021-11-10 02:01:24
183064,132920,4,3405,3156,2021-11-10 02:06:25
183064,132920,4,3411,3159,2021-11-10 02:11:25
183064,132920,4,3402,3159,2021-11-10 02:16:26
183064,132920,4,3407,3161,2021-11-10 02:21:27
183064,132920,4,3403,3158,2021-11-10 02:26:38
183064,132920,4,3406,3161,2021-11-10 02:31:29
183069,132920,4,3402,3159,2021-11-10 02:36:30
183069,132920,4,3409,3159,2021-11-10 02:41:31
183069,132920,4,3407,3160,2021-11-10 02:46:31
183070,132920,4,3402,3157,2021-11-10 02:52:13
183070,132920,4,3400,3157,2021-11-10 02:59:04
183072,132920,4,3418,3156,2021-11-10 03:04:25
183073,132920,4,3420,3158,2021-11-10 03:11:56
183075,132920,4,3404,3162,2021-11-10 03:16:37
183075,132920,4,3400,3158,2021-11-10 03:21:38
183078,132920,4,3405,3158,2021-11-10 03:26:48
183079,132920,4,3421,3158,2021-11-10 03:31:39
183094,132920,4,3414,3159,2021-11-10 03:36:40
183113,132920,4,3411,3158,2021-11-10 03:42:21
183113,132920,4,3400,3161,2021-11-10 03:49:32
183113,132920,4,3405,3156,2021-11-10 03:54:13
183115,132920,4,3401,3158,2021-11-10 03:59:14
183115,132920,4,3373,3155,2021-11-10 04:04:25
183115,132920,4,3374,3153,2021-11-10 04:09:46
183115,132920,4,3427,3161,2021-11-10 04:16:47
183115,132920,4,3436,3160,2021-11-10 04:21:48
183115,132920,4,3443,3157,2021-11-10 04:26:49
183120,132920,4,3455,3155,2021-11-10 04:31:50
183124,132920,4,3506,3156,2021-11-10 04:36:51
183130,132920,4,3497,3156,2021-11-10 04:41:52
183149,132920,4,3475,3158,2021-11-10 04:46:53
183153,132920,4,3468,3158,2021-11-10 04:52:03
183158,132920,4,3449,3157,2021-11-10 04:57:14
183158,132920,4,3442,3161,2021-11-10 05:02:35
183159,132920,4,3453,3157,2021-11-10 05:09:26
183269,132920,4,3421,3159,2021-11-10 05:14:27
183561,133206,0,3462,3156,2021-11-10 05:19:28
183860,133497,0,3488,3159,2021-11-10 05:24:39
184086,133639,0,3488,3156,2021-11-10 05:29:30
184275,133690,4,3482,3159,2021-11-10 05:34:31
184447,133738,0,3481,3158,2021-11-10 05:39:42
184640,133815,0,3477,3154,2021-11-10 05:44:43
184825,133908,0,3445,3157,2021-11-10 05:49:44
184946,133935,4,3507,3155,2021-11-10 05:54:34
185830,134112,4,3464,3154,2021-11-10 08:56:07
186213,134181,4,3425,3158,2021-11-10 09:49:13
186242,134191,4,3440,3157,2021-11-10 09:54:14
186315,134202,4,3379,3158,2021-11-10 09:59:24
186328,134202,4,3561,3155,2021-11-10 10:04:15
186330,134202,4,3646,3159,2021-11-10 10:09:16
186350,134202,4,3659,3162,2021-11-10 10:14:16
186436,134215,0,3682,3158,2021-11-10 10:19:17
186445,134215,4,3670,3156,2021-11-10 10:24:17
186482,134215,4,3606,3162,2021-11-10 10:29:28
186489,134215,4,3429,3161,2021-11-10 10:34:19
186493,134215,4,3407,3156,2021-11-10 10:39:19
186505,134215,4,3417,3155,2021-11-10 10:44:20
186528,134215,4,3421,3159,2021-11-10 10:49:20
186585,134234,0,3384,3155,2021-11-10 10:54:21
186720,134260,0,3365,3157,2021-11-10 10:59:21
186820,134282,0,3380,3154,2021-11-10 11:04:22
186980,134331,4,3370,3156,2021-11-10 11:09:23
187065,134331,4,3385,3159,2021-11-10 11:14:23
187113,134331,4,3494,3155,2021-11-10 11:19:24
187149,134341,4,3457,3154,2021-11-10 11:24:35
187175,134341,4,3455,3157,2021-11-10 11:29:25
187182,134341,4,3466,3158,2021-11-10 11:34:26
187218,134341,4,3456,3160,2021-11-10 11:39:26
187237,134354,4,3460,3154,2021-11-10 11:45:07
187285,134364,4,3430,3157,2021-11-10 11:51:58
187328,134364,4,3444,3157,2021-11-10 11:57:08
187348,134364,4,3452,3157,2021-11-10 12:01:59
187429,134401,4,3458,3158,2021-11-10 12:07:00
187507,134422,4,3468,3158,2021-11-10 12:12:00
187609,134442,4,3466,3155,2021-11-10 12:17:01
187609,134442,4,3468,3156,2021-11-10 12:22:01
187647,134442,4,3471,3155,2021-11-10 12:27:02
187688,134459,0,3466,3153,2021-11-10 12:32:02
187730,134459,4,3454,3158,2021-11-10 12:37:03
187744,134459,4,3455,3155,2021-11-10 12:42:04
187887,134537,0,3430,3154,2021-11-10 12:47:04
188027,134589,0,3352,3155,2021-11-10 12:52:05
188301,134841,0,3341,3154,2021-11-10 12:57:05
188600,135140,0,3471,3153,2021-11-10 13:02:06
188898,135438,0,3479,3155,2021-11-10 13:07:07
189195,135735,0,3537,3157,2021-11-10 13:12:07
189497,136029,0,3523,3154,2021-11-10 13:17:18
189772,136280,0,3477,3154,2021-11-10 13:22:08
189983,136379,0,3434,3160,2021-11-10 13:27:09
190165,136431,4,3419,3156,2021-11-10 13:32:19
190342,136492,0,3459,3158,2021-11-10 13:37:10
190518,136561,0,3464,3156,2021-11-10 13:42:11
190547,136561,4,3416,3160,2021-11-10 13:47:11
