运动量,活跃时长,活跃状态,温度,电压,时间
155284,92657,4,3601,3180,2021-11-10 00:00:55
155284,92657,4,3609,3180,2021-11-10 00:05:47
155328,92671,0,3610,3177,2021-11-10 00:10:50
155380,92682,4,3528,3180,2021-11-10 00:15:52
155401,92682,4,3653,3178,2021-11-10 00:20:54
155416,92682,4,3725,3178,2021-11-10 00:25:46
155431,92682,4,3576,3178,2021-11-10 00:30:48
155431,92682,4,3601,3181,2021-11-10 00:35:51
155433,92682,4,3603,3176,2021-11-10 00:40:53
155444,92682,4,3603,3179,2021-11-10 00:45:55
155493,92682,4,3403,3179,2021-11-10 00:50:47
155543,92682,4,3439,3175,2021-11-10 00:55:49
155544,92682,4,3432,3178,2021-11-10 01:00:52
155545,92682,4,3414,3180,2021-11-10 01:05:54
155548,92682,4,3402,3177,2021-11-10 01:10:56
155552,92682,4,3390,3181,2021-11-10 01:15:48
155566,92682,4,3394,3180,2021-11-10 01:20:50
155571,92682,4,3420,3179,2021-11-10 01:25:53
155586,92682,4,3414,3180,2021-11-10 01:30:55
155599,92682,4,3408,3178,2021-11-10 01:35:57
155622,92682,4,3423,3177,2021-11-10 01:40:49
155626,92682,4,3427,3178,2021-11-10 01:45:51
155637,92682,4,3425,3178,2021-11-10 01:50:54
155642,92682,4,3443,3178,2021-11-10 01:55:56
155653,92682,4,3436,3183,2021-11-10 02:00:58
155658,92682,4,3416,3179,2021-11-10 02:05:50
155662,92682,4,3432,3179,2021-11-10 02:10:52
155666,92682,4,3431,3174,2021-11-10 02:15:55
155682,92682,4,3414,3178,2021-11-10 02:20:57
155683,92682,4,3424,3180,2021-11-10 02:25:59
155693,92682,4,3412,3179,2021-11-10 02:30:51
155697,92682,4,3422,3178,2021-11-10 02:35:53
155715,92682,4,3434,3180,2021-11-10 02:40:56
155745,92682,4,3427,3181,2021-11-10 02:45:58
155778,92682,4,3408,3181,2021-11-10 02:51:00
155816,92682,4,3468,3178,2021-11-10 02:55:52
155860,92682,4,3479,3179,2021-11-10 03:00:54
155900,92682,4,3518,3178,2021-11-10 03:05:57
155967,92698,0,3540,3180,2021-11-10 03:11:09
155967,92698,4,3571,3178,2021-11-10 03:16:31
156007,92698,4,3542,3179,2021-11-10 03:21:44
156126,92739,4,3455,3178,2021-11-10 03:28:27
156126,92739,4,3482,3178,2021-11-10 03:33:29
156145,92739,4,3498,3180,2021-11-10 03:38:31
156145,92739,4,3519,3178,2021-11-10 03:43:33
156165,92739,4,3530,3179,2021-11-10 03:48:35
156165,92739,4,3508,3180,2021-11-10 03:53:28
156166,92739,4,3526,3178,2021-11-10 03:58:30
