运动量,活跃时长,活跃状态,温度,电压,时间
170366,125893,4,3696,3175,2021-11-10 00:03:08
170382,125893,4,3689,3179,2021-11-10 00:08:08
170417,125893,4,3682,3178,2021-11-10 00:13:09
170423,125893,4,3685,3176,2021-11-10 00:18:10
170423,125893,4,3683,3174,2021-11-10 00:23:11
170423,125893,4,3678,3179,2021-11-10 00:28:12
170430,125893,4,3682,3177,2021-11-10 00:33:13
170433,125893,4,3692,3177,2021-11-10 00:38:14
170433,125893,4,3696,3176,2021-11-10 00:43:14
170452,125893,4,3682,3179,2021-11-10 00:48:15
170474,125893,4,3683,3178,2021-11-10 00:53:16
170474,125893,4,3707,3180,2021-11-10 00:58:17
170474,125893,4,3717,3175,2021-11-10 01:03:18
170474,125893,4,3721,3179,2021-11-10 01:08:19
170477,125893,4,3714,3177,2021-11-10 01:13:20
170477,125893,4,3694,3178,2021-11-10 01:18:20
170477,125893,4,3680,3175,2021-11-10 01:23:21
170487,125893,4,3672,3179,2021-11-10 01:28:22
170530,125893,4,3661,3176,2021-11-10 01:33:23
170543,125893,4,3672,3178,2021-11-10 01:38:24
170550,125893,4,3672,3178,2021-11-10 01:43:25
170551,125893,4,3675,3177,2021-11-10 01:48:26
170556,125893,4,3670,3179,2021-11-10 01:53:26
170561,125893,4,3672,3177,2021-11-10 01:58:27
170568,125893,4,3682,3174,2021-11-10 02:03:28
170568,125893,4,3682,3180,2021-11-10 02:08:49
170575,125893,4,3663,3175,2021-11-10 02:13:30
170636,125893,4,3618,3175,2021-11-10 02:18:21
170650,125893,4,3672,3176,2021-11-10 02:23:32
170651,125893,4,3682,3176,2021-11-10 02:28:34
170662,125893,4,3687,3176,2021-11-10 02:33:34
170709,125893,4,3689,3174,2021-11-10 02:38:35
170709,125893,4,3710,3175,2021-11-10 02:43:55
170735,125893,4,3712,3174,2021-11-10 02:48:36
170871,125915,4,3667,3178,2021-11-10 02:53:37
170924,125936,4,3694,3177,2021-11-10 02:58:47
170924,125936,4,3741,3176,2021-11-10 03:03:38
170929,125936,4,3763,3179,2021-11-10 03:08:38
170966,125936,4,3732,3175,2021-11-10 03:13:39
170990,125936,4,3734,3176,2021-11-10 03:18:39
171020,125936,4,3666,3175,2021-11-10 03:23:40
171025,125936,4,3680,3180,2021-11-10 03:28:40
171025,125936,4,3670,3177,2021-11-10 03:33:41
171037,125936,4,3678,3177,2021-11-10 03:38:42
171044,125936,4,3668,3175,2021-11-10 03:43:42
171056,125936,4,3659,3177,2021-11-10 03:48:43
171060,125936,4,3653,3177,2021-11-10 03:53:43
171067,125936,4,3640,3177,2021-11-10 03:58:54
171069,125936,4,3642,3173,2021-11-10 04:03:44
171074,125936,4,3646,3174,2021-11-10 04:08:45
171080,125936,4,3639,3177,2021-11-10 04:13:45
171145,125946,4,3612,3177,2021-11-10 04:18:46
171145,125946,4,3646,3175,2021-11-10 04:23:47
171156,125946,4,3651,3175,2021-11-10 04:28:47
171164,125946,4,3672,3175,2021-11-10 04:33:48
171182,125946,4,3685,3174,2021-11-10 04:38:48
171284,125964,4,3682,3176,2021-11-10 04:43:49
171314,125964,4,3692,3175,2021-11-10 04:48:59
171321,125964,4,3707,3173,2021-11-10 04:53:50
171323,125964,4,3710,3173,2021-11-10 04:58:50
171350,125964,4,3709,3172,2021-11-10 05:03:51
171453,125989,0,3685,3173,2021-11-10 05:08:51
171564,126028,4,3672,3175,2021-11-10 05:13:52
171617,126041,4,3659,3178,2021-11-10 05:18:52
171627,126041,4,3660,3173,2021-11-10 05:23:53
171716,126041,4,3650,3173,2021-11-10 05:28:54
171783,126053,4,3626,3174,2021-11-10 05:33:54
171812,126053,4,3653,3175,2021-11-10 05:38:55
171818,126053,4,3661,3175,2021-11-10 05:43:55
171839,126053,4,3668,3177,2021-11-10 05:48:56
171874,126053,4,3651,3177,2021-11-10 05:53:56
171888,126053,4,3657,3173,2021-11-10 05:58:57
171912,126063,4,3664,3174,2021-11-10 06:03:57
171912,126063,4,3666,3175,2021-11-10 06:08:58
172094,126220,0,3630,3176,2021-11-10 06:13:59
172385,126501,0,3617,3175,2021-11-10 06:18:59
172676,126777,0,3637,3175,2021-11-10 06:24:00
172981,127082,0,3650,3177,2021-11-10 06:29:10
173269,127370,0,3650,3177,2021-11-10 06:34:01
173563,127664,0,3661,3173,2021-11-10 06:39:01
173783,127856,0,3661,3177,2021-11-10 06:44:02
174078,128132,0,3682,3172,2021-11-10 06:49:13
174323,128331,0,3685,3174,2021-11-10 06:54:03
174474,128382,0,3660,3173,2021-11-10 06:59:04
174649,128498,0,3661,3172,2021-11-10 07:04:04
174649,128498,4,3672,3174,2021-11-10 07:09:05
174676,128511,4,3650,3175,2021-11-10 07:14:05
174707,128511,4,3651,3174,2021-11-10 07:19:06
174723,128511,4,3659,3175,2021-11-10 07:24:06
174723,128511,4,3666,3174,2021-11-10 07:29:07
174725,128511,4,3668,3180,2021-11-10 07:34:08
174725,128511,4,3667,3175,2021-11-10 07:39:08
174727,128511,4,3683,3176,2021-11-10 07:44:09
174748,128511,4,3680,3174,2021-11-10 07:49:09
174776,128511,4,3634,3178,2021-11-10 07:54:10
174794,128511,4,3659,3176,2021-11-10 07:59:10
174842,128511,4,3667,3172,2021-11-10 08:04:21
174861,128511,4,3694,3173,2021-11-10 08:09:22
174950,128544,4,3690,3177,2021-11-10 08:14:12
174990,128544,4,3690,3172,2021-11-10 08:19:13
174991,128544,4,3690,3176,2021-11-10 08:24:13
175025,128555,4,3689,3172,2021-11-10 08:29:14
175034,128555,4,3690,3174,2021-11-10 08:34:14
175060,128555,4,3705,3174,2021-11-10 08:39:15
175075,128555,4,3716,3174,2021-11-10 08:44:15
175076,128555,4,3710,3178,2021-11-10 08:49:16
175077,128555,4,3709,3176,2021-11-10 08:54:16
175125,128555,4,3710,3175,2021-11-10 08:59:17
175141,128555,4,3701,3174,2021-11-10 09:04:18
175152,128555,4,3701,3174,2021-11-10 09:09:18
175155,128555,4,3714,3175,2021-11-10 09:14:39
175155,128555,4,3725,3175,2021-11-10 09:19:29
175165,128555,4,3728,3175,2021-11-10 09:24:20
175187,128555,4,3727,3173,2021-11-10 09:29:30
175198,128555,4,3730,3174,2021-11-10 09:34:21
175198,128555,4,3740,3170,2021-11-10 09:39:21
175199,128555,4,3740,3175,2021-11-10 09:44:22
175201,128555,4,3734,3175,2021-11-10 09:49:22
175201,128555,4,3726,3175,2021-11-10 09:54:33
175203,128555,4,3717,3175,2021-11-10 09:59:54
175207,128555,4,3712,3177,2021-11-10 10:07:04
175207,128555,4,3705,3174,2021-11-10 10:11:55
175209,128555,4,3696,3174,2021-11-10 10:16:55
175235,128555,4,3703,3172,2021-11-10 10:22:16
175238,128555,4,3707,3173,2021-11-10 10:26:57
175272,128555,4,3714,3175,2021-11-10 10:31:57
175283,128555,4,3717,3175,2021-11-10 10:36:58
175284,128555,4,3727,3176,2021-11-10 10:41:58
175284,128555,4,3732,3175,2021-11-10 10:46:59
175287,128555,4,3740,3178,2021-11-10 10:51:59
175311,128555,4,3717,3177,2021-11-10 10:57:00
175324,128555,4,3705,3175,2021-11-10 11:02:00
175325,128555,4,3716,3175,2021-11-10 11:07:01
175331,128555,4,3700,3171,2021-11-10 11:12:01
175333,128555,4,3710,3178,2021-11-10 11:17:02
175343,128555,4,3712,3176,2021-11-10 11:22:03
175349,128555,4,3694,3174,2021-11-10 11:27:03
175349,128555,4,3690,3177,2021-11-10 11:32:04
175370,128555,4,3692,3175,2021-11-10 11:37:04
175377,128555,4,3707,3176,2021-11-10 11:42:05
