运动量,活跃时长,活跃状态,温度,电压,时间
155750,91827,4,3687,3155,2021-11-10 00:00:04
155750,91827,4,3691,3153,2021-11-10 00:05:05
155750,91827,4,3692,3156,2021-11-10 00:10:06
155756,91827,4,3687,3156,2021-11-10 00:15:06
155766,91827,4,3687,3157,2021-11-10 00:20:06
155783,91827,4,3685,3156,2021-11-10 00:25:07
155788,91827,4,3685,3156,2021-11-10 00:30:07
155788,91827,4,3680,3158,2021-11-10 00:35:08
155790,91827,4,3683,3155,2021-11-10 00:40:08
155791,91827,4,3685,3159,2021-11-10 00:45:09
155791,91827,4,3692,3158,2021-11-10 00:50:09
155791,91827,4,3700,3160,2021-11-10 00:55:10
155791,91827,4,3698,3158,2021-11-10 01:00:11
155791,91827,4,3694,3160,2021-11-10 01:05:11
155793,91827,4,3691,3154,2021-11-10 01:10:22
155847,91839,4,3660,3157,2021-11-10 01:15:42
155853,91839,4,3642,3155,2021-11-10 01:22:43
155858,91839,4,3655,3155,2021-11-10 01:27:43
155872,91839,4,3644,3157,2021-11-10 01:32:44
155872,91839,4,3668,3158,2021-11-10 01:37:44
155873,91839,4,3670,3157,2021-11-10 01:43:05
155876,91839,4,3692,3153,2021-11-10 01:47:55
155900,91839,4,3740,3157,2021-11-10 01:52:46
155968,91852,4,3721,3156,2021-11-10 01:57:46
155982,91852,4,3670,3156,2021-11-10 02:02:57
155991,91852,4,3659,3160,2021-11-10 02:07:47
155993,91852,4,3675,3158,2021-11-10 02:12:48
155993,91852,4,3689,3154,2021-11-10 02:17:48
155993,91852,4,3685,3158,2021-11-10 02:22:49
155994,91852,4,3703,3156,2021-11-10 02:27:49
155999,91852,4,3692,3153,2021-11-10 02:32:50
156000,91852,4,3700,3157,2021-11-10 02:37:50
156003,91852,4,3701,3156,2021-11-10 02:42:51
156004,91852,4,3701,3159,2021-11-10 02:48:12
156013,91852,4,3698,3159,2021-11-10 02:55:22
156043,91852,4,3680,3159,2021-11-10 03:00:23
156043,91852,4,3714,3156,2021-11-10 03:05:23
156045,91852,4,3727,3158,2021-11-10 03:10:24
156045,91852,4,3711,3157,2021-11-10 03:15:24
156049,91852,4,3700,3156,2021-11-10 03:20:25
156055,91852,4,3712,3157,2021-11-10 03:25:25
156056,91852,4,3741,3156,2021-11-10 03:30:26
156066,91852,4,3745,3156,2021-11-10 03:35:26
