运动量,活跃时长,活跃状态,温度,电压,时间
158050,113318,4,3821,3198,2021-11-10 00:02:29
158050,113318,4,3825,3200,2021-11-10 00:07:30
158055,113318,4,3825,3198,2021-11-10 00:12:32
158095,113318,4,3807,3199,2021-11-10 00:17:31
158095,113318,4,3825,3199,2021-11-10 00:22:30
158095,113318,4,3847,3197,2021-11-10 00:27:39
158099,113318,4,3827,3199,2021-11-10 00:32:39
158102,113318,4,3830,3196,2021-11-10 00:37:38
158104,113318,4,3825,3198,2021-11-10 00:42:37
158108,113318,4,3813,3194,2021-11-10 00:47:36
158117,113318,4,3812,3199,2021-11-10 00:52:45
158120,113318,4,3825,3198,2021-11-10 00:57:44
158124,113318,4,3825,3199,2021-11-10 01:02:43
158133,113318,4,3820,3201,2021-11-10 01:07:42
158133,113318,4,3825,3196,2021-11-10 01:12:42
158137,113318,4,3832,3199,2021-11-10 01:17:51
158137,113318,4,3823,3199,2021-11-10 01:22:50
158142,113318,4,3825,3199,2021-11-10 01:27:49
158147,113318,4,3816,3198,2021-11-10 01:32:48
158152,113318,4,3780,3203,2021-11-10 01:37:47
158159,113318,4,3768,3198,2021-11-10 01:42:56
158160,113318,4,3800,3200,2021-11-10 01:47:55
158163,113318,4,3814,3199,2021-11-10 01:52:55
158167,113318,4,3823,3198,2021-11-10 01:57:54
158184,113318,4,3812,3200,2021-11-10 02:02:53
158191,113318,4,3814,3200,2021-11-10 02:08:02
158191,113318,4,3811,3197,2021-11-10 02:13:01
158192,113318,4,3811,3200,2021-11-10 02:18:00
158194,113318,4,3811,3198,2021-11-10 02:22:59
158196,113318,4,3813,3199,2021-11-10 02:27:58
158204,113318,4,3812,3198,2021-11-10 02:33:07
158216,113318,4,3816,3200,2021-11-10 02:38:07
158218,113318,4,3813,3198,2021-11-10 02:43:06
158257,113328,4,3784,3199,2021-11-10 02:48:05
158262,113328,4,3780,3200,2021-11-10 02:53:04
158283,113328,4,3771,3196,2021-11-10 02:58:13
158285,113328,4,3789,3199,2021-11-10 03:03:12
158289,113328,4,3801,3199,2021-11-10 03:08:11
158291,113328,4,3810,3200,2021-11-10 03:13:10
158294,113328,4,3830,3199,2021-11-10 03:18:10
158305,113328,4,3824,3196,2021-11-10 03:23:19
158305,113328,4,3818,3202,2021-11-10 03:28:18
158325,113328,4,3805,3198,2021-11-10 03:33:17
158332,113328,4,3771,3198,2021-11-10 03:38:16
158352,113328,4,3743,3199,2021-11-10 03:43:15
158355,113328,4,3764,3201,2021-11-10 03:48:24
158355,113328,4,3791,3198,2021-11-10 03:53:23
158370,113328,4,3786,3198,2021-11-10 03:58:22
158370,113328,4,3768,3199,2021-11-10 04:03:22
158379,113328,4,3744,3199,2021-11-10 04:08:21
158379,113328,4,3784,3197,2021-11-10 04:13:30
158403,113328,4,3807,3202,2021-11-10 04:18:29
158554,113341,4,3791,3200,2021-11-10 04:23:28
158575,113341,4,3762,3199,2021-11-10 04:28:27
158577,113341,4,3760,3200,2021-11-10 04:33:26
158599,113352,4,3751,3199,2021-11-10 04:38:35
158599,113352,4,3728,3198,2021-11-10 04:43:34
158599,113352,4,3708,3199,2021-11-10 04:48:34
158599,113352,4,3723,3200,2021-11-10 04:53:33
158599,113352,4,3713,3198,2021-11-10 04:58:32
158599,113352,4,3713,3199,2021-11-10 05:03:41
158599,113352,4,3699,3201,2021-11-10 05:08:50
158752,113436,0,3667,3200,2021-11-10 05:13:39
159030,113692,0,3696,3197,2021-11-10 05:18:38
159304,113924,0,3712,3200,2021-11-10 05:23:37
159568,114124,0,3708,3199,2021-11-10 05:28:46
159733,114205,0,3730,3200,2021-11-10 05:33:45
159818,114205,4,3755,3200,2021-11-10 05:38:44
159975,114294,0,3696,3197,2021-11-10 05:43:44
160123,114363,0,3732,3197,2021-11-10 05:48:43
160123,114363,4,3762,3200,2021-11-10 05:53:52
160150,114363,4,3788,3200,2021-11-10 06:02:40
160280,114444,4,3732,3197,2021-11-10 06:17:47
160932,114574,4,3809,3199,2021-11-10 09:49:19
160936,114574,4,3822,3194,2021-11-10 09:54:18
160940,114574,4,3812,3197,2021-11-10 09:59:17
160945,114574,4,3810,3197,2021-11-10 10:04:16
160945,114574,4,3814,3197,2021-11-10 10:09:15
160946,114574,4,3814,3194,2021-11-10 10:14:24
160963,114574,4,3811,3195,2021-11-10 10:19:23
160963,114574,4,3812,3197,2021-11-10 10:24:22
161004,114584,4,3805,3199,2021-11-10 10:29:21
161005,114584,4,3821,3198,2021-11-10 10:34:21
161005,114584,4,3832,3199,2021-11-10 10:39:30
161008,114584,4,3839,3200,2021-11-10 10:44:29
161008,114584,4,3838,3199,2021-11-10 10:49:28
161019,114584,4,3836,3199,2021-11-10 10:54:27
161048,114584,4,3823,3197,2021-11-10 10:59:26
161062,114584,4,3807,3201,2021-11-10 11:04:25
161069,114584,4,3805,3199,2021-11-10 11:09:34
161069,114584,4,3813,3198,2021-11-10 11:14:33
161072,114584,4,3825,3198,2021-11-10 11:19:32
161175,114606,0,3809,3197,2021-11-10 11:24:32
161193,114606,4,3773,3198,2021-11-10 11:29:41
161196,114606,4,3760,3198,2021-11-10 11:34:40
161217,114606,4,3757,3199,2021-11-10 11:39:39
161243,114606,4,3759,3201,2021-11-10 11:44:38
161269,114617,4,3779,3196,2021-11-10 11:49:37
161270,114617,4,3789,3198,2021-11-10 11:54:46
161363,114641,4,3744,3196,2021-11-10 11:59:45
161395,114641,4,3759,3197,2021-11-10 12:04:44
161458,114641,4,3759,3196,2021-11-10 12:09:45
161552,114691,4,3770,3194,2021-11-10 12:14:45
161617,114705,4,3770,3198,2021-11-10 12:19:45
