运动量,活跃时长,活跃状态,温度,电压,时间
143632,91634,4,3705,3156,2021-11-10 00:03:50
143699,91634,4,3675,3160,2021-11-10 00:08:49
143718,91634,4,3680,3159,2021-11-10 00:13:47
143750,91634,4,3680,3154,2021-11-10 00:18:56
143760,91634,4,3685,3155,2021-11-10 00:23:54
143763,91634,4,3698,3154,2021-11-10 00:28:53
143766,91634,4,3698,3159,2021-11-10 00:33:51
143785,91634,4,3707,3156,2021-11-10 00:38:50
143803,91634,4,3701,3154,2021-11-10 00:43:58
143840,91634,4,3718,3154,2021-11-10 00:48:57
143860,91634,4,3720,3155,2021-11-10 00:53:55
143861,91634,4,3720,3150,2021-11-10 00:58:54
143865,91634,4,3732,3151,2021-11-10 01:03:52
143865,91634,4,3723,3151,2021-11-10 01:09:00
143884,91634,4,3714,3156,2021-11-10 01:13:59
143891,91634,4,3725,3153,2021-11-10 01:18:57
143933,91658,4,3725,3155,2021-11-10 01:23:56
143933,91658,4,3721,3157,2021-11-10 01:28:54
143933,91658,4,3720,3156,2021-11-10 01:34:03
143937,91658,4,3729,3155,2021-11-10 01:39:01
143939,91658,4,3725,3156,2021-11-10 01:44:00
143940,91658,4,3732,3156,2021-11-10 01:48:58
143943,91658,4,3730,3153,2021-11-10 01:53:57
143986,91658,4,3718,3156,2021-11-10 01:59:05
143986,91658,4,3701,3154,2021-11-10 02:04:04
143988,91658,4,3678,3155,2021-11-10 02:09:02
144049,91658,4,3653,3155,2021-11-10 02:14:00
144073,91658,4,3659,3155,2021-11-10 02:18:59
144104,91670,4,3703,3153,2021-11-10 02:24:07
144125,91670,4,3716,3155,2021-11-10 02:29:06
144127,91670,4,3727,3154,2021-11-10 02:34:04
144128,91670,4,3727,3154,2021-11-10 02:39:03
144131,91670,4,3716,3157,2021-11-10 02:44:01
144141,91670,4,3736,3156,2021-11-10 02:49:10
144165,91670,4,3745,3155,2021-11-10 02:54:08
144169,91670,4,3746,3152,2021-11-10 02:59:06
144238,91683,0,3728,3157,2021-11-10 03:04:05
144259,91683,4,3740,3153,2021-11-10 03:09:03
144298,91683,4,3712,3155,2021-11-10 03:14:12
144302,91683,4,3727,3153,2021-11-10 03:19:10
144305,91683,4,3725,3154,2021-11-10 03:24:09
144308,91683,4,3737,3157,2021-11-10 03:29:07
144318,91683,4,3737,3156,2021-11-10 03:34:06
144321,91683,4,3738,3157,2021-11-10 03:39:14
144342,91683,4,3723,3156,2021-11-10 03:44:12
144360,91683,4,3720,3156,2021-11-10 03:49:11
144363,91683,4,3705,3159,2021-11-10 03:54:09
144369,91683,4,3716,3158,2021-11-10 03:59:08
144399,91683,4,3716,3156,2021-11-10 04:04:16
144408,91683,4,3716,3158,2021-11-10 04:09:15
144409,91683,4,3721,3155,2021-11-10 04:14:13
144416,91683,4,3716,3150,2021-11-10 04:19:12
144444,91693,4,3730,3153,2021-11-10 04:24:11
144452,91693,4,3727,3156,2021-11-10 04:29:19
144453,91693,4,3725,3153,2021-11-10 04:34:18
144481,91693,4,3714,3153,2021-11-10 04:39:16
144503,91693,4,3709,3157,2021-11-10 04:44:14
144524,91693,4,3700,3156,2021-11-10 04:49:12
144535,91693,4,3711,3155,2021-11-10 04:54:20
144540,91693,4,3709,3153,2021-11-10 04:59:18
144540,91693,4,3712,3152,2021-11-10 05:04:16
144541,91693,4,3707,3156,2021-11-10 05:09:15
144543,91693,4,3712,3157,2021-11-10 05:14:13
144561,91693,4,3712,3158,2021-11-10 05:19:21
144582,91693,4,3705,3157,2021-11-10 05:24:19
144632,91693,4,3592,3156,2021-11-10 05:29:17
144674,91693,4,3565,3155,2021-11-10 05:34:15
144680,91693,4,3590,3156,2021-11-10 05:39:13
144681,91693,4,3607,3157,2021-11-10 05:44:22
144693,91693,4,3619,3158,2021-11-10 05:49:20
144709,91693,4,3617,3157,2021-11-10 05:54:18
144712,91693,4,3631,3155,2021-11-10 05:59:16
144726,91693,4,3633,3156,2021-11-10 06:04:14
144742,91693,4,3611,3154,2021-11-10 06:09:22
144875,91775,0,3592,3156,2021-11-10 06:14:20
145183,92083,0,3640,3157,2021-11-10 06:19:28
145468,92361,0,3685,3158,2021-11-10 06:24:17
145766,92659,0,3714,3158,2021-11-10 06:29:15
146073,92966,0,3734,3156,2021-11-10 06:34:23
146350,93223,0,3719,3159,2021-11-10 06:39:21
146537,93279,0,3718,3153,2021-11-10 06:44:19
146725,93370,0,3666,3154,2021-11-10 06:49:17
146820,93403,0,3626,3157,2021-11-10 06:54:16
146977,93425,4,3666,3156,2021-11-10 06:59:24
147097,93461,0,3675,3157,2021-11-10 07:04:22
147187,93476,4,3675,3155,2021-11-10 07:09:20
147269,93488,4,3682,3156,2021-11-10 07:14:18
147364,93499,4,3684,3155,2021-11-10 07:19:16
147416,93499,4,3685,3156,2021-11-10 07:24:24
147481,93514,0,3678,3154,2021-11-10 07:29:23
147501,93514,4,3670,3155,2021-11-10 07:34:21
