运动量,活跃时长,活跃状态,温度,电压,时间
194837,151049,4,3750,3156,2021-11-10 00:03:34
194839,151049,4,3756,3153,2021-11-10 00:08:35
194841,151049,4,3745,3158,2021-11-10 00:13:47
194842,151049,4,3745,3158,2021-11-10 00:18:38
194843,151049,4,3743,3155,2021-11-10 00:23:39
194844,151049,4,3752,3154,2021-11-10 00:28:40
194851,151049,4,3754,3156,2021-11-10 00:33:41
194859,151049,4,3765,3156,2021-11-10 00:38:42
194861,151049,4,3780,3155,2021-11-10 00:43:43
194876,151049,4,3767,3155,2021-11-10 00:48:44
194883,151049,4,3763,3157,2021-11-10 00:53:45
194889,151049,4,3752,3153,2021-11-10 00:58:46
194891,151049,4,3747,3152,2021-11-10 01:03:47
194891,151049,4,3736,3157,2021-11-10 01:08:48
194901,151049,4,3738,3154,2021-11-10 01:13:49
194922,151049,4,3740,3158,2021-11-10 01:18:50
194935,151049,4,3752,3156,2021-11-10 01:23:51
194935,151049,4,3741,3156,2021-11-10 01:28:53
194935,151049,4,3750,3156,2021-11-10 01:33:54
194939,151049,4,3735,3152,2021-11-10 01:38:55
194939,151049,4,3741,3156,2021-11-10 01:43:56
194946,151049,4,3737,3153,2021-11-10 01:48:57
194958,151049,4,3742,3158,2021-11-10 01:53:58
195052,151104,4,3752,3155,2021-11-10 01:58:59
195053,151104,4,3770,3155,2021-11-10 02:04:00
195053,151104,4,3783,3156,2021-11-10 02:09:01
195053,151104,4,3800,3154,2021-11-10 02:14:12
195070,151104,4,3805,3156,2021-11-10 02:19:03
195078,151104,4,3810,3156,2021-11-10 02:24:04
195177,151130,4,3783,3159,2021-11-10 02:29:05
195222,151141,4,3767,3157,2021-11-10 02:34:06
195230,151141,4,3769,3156,2021-11-10 02:39:07
195233,151141,4,3770,3158,2021-11-10 02:44:08
195242,151141,4,3776,3152,2021-11-10 02:49:10
195244,151141,4,3767,3155,2021-11-10 02:54:12
195245,151141,4,3767,3156,2021-11-10 02:59:14
195245,151141,4,3776,3157,2021-11-10 03:04:15
195250,151141,4,3778,3155,2021-11-10 03:09:16
195255,151141,4,3783,3159,2021-11-10 03:14:18
195275,151141,4,3780,3157,2021-11-10 03:19:19
195279,151141,4,3771,3153,2021-11-10 03:24:20
195285,151141,4,3772,3158,2021-11-10 03:29:22
195297,151141,4,3773,3153,2021-11-10 03:34:23
195299,151141,4,3782,3157,2021-11-10 03:39:24
195306,151141,4,3783,3154,2021-11-10 03:44:26
195307,151141,4,3780,3154,2021-11-10 03:49:27
195315,151141,4,3785,3158,2021-11-10 03:54:28
195317,151141,4,3781,3156,2021-11-10 03:59:30
195323,151141,4,3784,3155,2021-11-10 04:04:31
195337,151141,4,3783,3157,2021-11-10 04:09:33
195431,151164,0,3769,3154,2021-11-10 04:14:34
195489,151164,4,3754,3153,2021-11-10 04:19:35
195512,151164,4,3749,3156,2021-11-10 04:24:37
195580,151177,0,3760,3155,2021-11-10 04:29:38
195764,151256,0,3767,3158,2021-11-10 04:34:39
195775,151256,4,3782,3157,2021-11-10 04:39:41
195779,151256,4,3800,3154,2021-11-10 04:44:42
195790,151256,4,3803,3156,2021-11-10 04:50:03
195790,151256,4,3794,3156,2021-11-10 04:54:45
195795,151256,4,3792,3155,2021-11-10 04:59:46
195812,151256,4,3797,3154,2021-11-10 05:04:48
195835,151256,4,3794,3153,2021-11-10 05:09:39
196142,151563,0,3776,3153,2021-11-10 05:14:50
196451,151872,0,3775,3152,2021-11-10 05:20:02
196741,152162,0,3783,3158,2021-11-10 05:24:53
197041,152462,0,3784,3153,2021-11-10 05:29:54
197339,152752,0,3785,3158,2021-11-10 05:34:56
197639,153052,0,3785,3156,2021-11-10 05:39:57
197939,153351,0,3790,3156,2021-11-10 05:44:58
198236,153649,0,3807,3154,2021-11-10 05:50:00
198514,153927,0,3803,3155,2021-11-10 05:54:41
199014,154297,0,3753,3153,2021-11-10 06:13:06
199165,154322,4,3776,3156,2021-11-10 06:25:39
199454,154442,4,3800,3153,2021-11-10 07:39:09
199747,154691,0,3748,3157,2021-11-10 07:45:01
200168,154921,0,3772,3158,2021-11-10 08:59:00
200231,154921,4,3778,3154,2021-11-10 09:22:56
200290,154921,4,3765,3157,2021-11-10 09:49:13
200302,154921,4,3776,3154,2021-11-10 09:54:14
200302,154921,4,3773,3152,2021-11-10 09:59:16
200303,154921,4,3769,3155,2021-11-10 10:04:17
200310,154921,4,3772,3155,2021-11-10 10:09:18
200310,154921,4,3774,3155,2021-11-10 10:14:20
200333,154921,4,3775,3156,2021-11-10 10:19:21
200339,154921,4,3754,3154,2021-11-10 10:24:22
