运动量,活跃时长,活跃状态,温度,电压,时间
154727,88985,4,3624,3153,2021-11-10 00:01:59
154753,88985,4,3626,3149,2021-11-10 00:06:59
154772,88985,4,3619,3150,2021-11-10 00:12:00
154787,88985,4,3608,3152,2021-11-10 00:17:00
154793,88985,4,3604,3150,2021-11-10 00:22:00
154793,88985,4,3594,3150,2021-11-10 00:27:01
154793,88985,4,3599,3152,2021-11-10 00:32:01
154794,88985,4,3586,3151,2021-11-10 00:37:02
154795,88985,4,3597,3153,2021-11-10 00:42:02
154825,88985,4,3619,3152,2021-11-10 00:47:03
154913,88985,4,3588,3148,2021-11-10 00:52:03
154916,88985,4,3619,3150,2021-11-10 00:57:04
154924,88985,4,3630,3150,2021-11-10 01:02:04
154926,88985,4,3633,3153,2021-11-10 01:07:05
154973,88998,4,3646,3148,2021-11-10 01:12:05
154988,88998,4,3651,3151,2021-11-10 01:17:06
154988,88998,4,3644,3151,2021-11-10 01:22:06
154993,88998,4,3646,3149,2021-11-10 01:27:07
154993,88998,4,3653,3150,2021-11-10 01:32:47
154995,88998,4,3657,3151,2021-11-10 01:39:38
155010,88998,4,3630,3151,2021-11-10 01:44:38
155014,88998,4,3663,3149,2021-11-10 01:49:39
155016,88998,4,3685,3150,2021-11-10 01:54:39
155016,88998,4,3705,3149,2021-11-10 01:59:40
155021,88998,4,3709,3150,2021-11-10 02:04:40
155023,88998,4,3709,3151,2021-11-10 02:09:41
155023,88998,4,3711,3152,2021-11-10 02:14:41
155023,88998,4,3700,3151,2021-11-10 02:19:42
155024,88998,4,3696,3148,2021-11-10 02:24:42
155026,88998,4,3729,3151,2021-11-10 02:29:43
155026,88998,4,3775,3150,2021-11-10 02:34:43
155026,88998,4,3792,3149,2021-11-10 02:39:54
155028,88998,4,3805,3151,2021-11-10 02:44:44
155042,88998,4,3760,3150,2021-11-10 02:49:45
155053,88998,4,3727,3153,2021-11-10 02:54:45
155055,88998,4,3714,3153,2021-11-10 02:59:46
155057,88998,4,3701,3147,2021-11-10 03:04:46
155057,88998,4,3714,3149,2021-11-10 03:09:47
155057,88998,4,3709,3149,2021-11-10 03:14:47
155057,88998,4,3707,3148,2021-11-10 03:19:48
155057,88998,4,3720,3151,2021-11-10 03:24:48
155057,88998,4,3725,3151,2021-11-10 03:29:48
155059,88998,4,3716,3151,2021-11-10 03:34:49
155059,88998,4,3723,3152,2021-11-10 03:39:49
155059,88998,4,3722,3151,2021-11-10 03:44:50
155059,88998,4,3725,3150,2021-11-10 03:49:50
155060,88998,4,3735,3153,2021-11-10 03:54:51
155060,88998,4,3733,3149,2021-11-10 03:59:51
155061,88998,4,3718,3151,2021-11-10 04:05:02
155061,88998,4,3711,3151,2021-11-10 04:09:52
155078,88998,4,3723,3147,2021-11-10 04:14:53
155122,88998,4,3684,3149,2021-11-10 04:19:53
155128,88998,4,3578,3150,2021-11-10 04:24:54
155131,88998,4,3514,3151,2021-11-10 04:29:54
155132,88998,4,3498,3151,2021-11-10 04:34:55
155163,88998,4,3610,3154,2021-11-10 04:39:55
155199,88998,4,3642,3151,2021-11-10 04:44:56
155209,88998,4,3655,3152,2021-11-10 04:49:56
155226,88998,4,3670,3151,2021-11-10 04:54:56
155269,88998,4,3628,3150,2021-11-10 04:59:57
155283,88998,4,3619,3148,2021-11-10 05:04:57
155283,88998,4,3608,3150,2021-11-10 05:09:58
155287,88998,4,3611,3151,2021-11-10 05:14:58
155311,88998,4,3622,3149,2021-11-10 05:19:59
155315,88998,4,3644,3150,2021-11-10 05:24:59
155336,88998,4,3644,3152,2021-11-10 05:30:00
155415,89009,4,3586,3149,2021-11-10 05:35:00
155419,89009,4,3626,3149,2021-11-10 05:40:01
