运动量,活跃时长,活跃状态,温度,电压,时间
245622,178250,4,3602,3150,2021-11-10 00:01:48
245674,178280,0,3590,3151,2021-11-10 00:06:47
245725,178300,4,3573,3148,2021-11-10 00:11:46
245794,178318,4,3571,3147,2021-11-10 00:16:55
245870,178356,0,3570,3152,2021-11-10 00:21:54
245992,178430,0,3570,3147,2021-11-10 00:26:52
246045,178451,0,3572,3148,2021-11-10 00:31:51
246092,178471,4,3581,3152,2021-11-10 00:36:50
246237,178471,4,3584,3147,2021-11-10 00:41:59
246317,178509,0,3567,3148,2021-11-10 00:46:58
246387,178522,4,3582,3145,2021-11-10 00:51:57
246427,178546,4,3572,3149,2021-11-10 00:56:56
246483,178546,4,3577,3149,2021-11-10 01:01:54
246488,178546,4,3579,3147,2021-11-10 01:07:03
246525,178546,4,3571,3148,2021-11-10 01:12:02
246587,178572,4,3584,3150,2021-11-10 01:17:01
246601,178572,4,3586,3150,2021-11-10 01:22:00
246608,178572,4,3590,3144,2021-11-10 01:26:59
246608,178572,4,3592,3146,2021-11-10 01:32:08
246676,178604,0,3597,3150,2021-11-10 01:37:06
246686,178604,4,3599,3147,2021-11-10 01:42:05
246719,178604,4,3583,3147,2021-11-10 01:47:04
246746,178604,4,3579,3148,2021-11-10 01:52:03
246754,178604,4,3578,3150,2021-11-10 01:57:22
246767,178604,4,3570,3149,2021-11-10 02:02:11
246833,178653,0,3567,3146,2021-11-10 02:07:10
246887,178691,4,3570,3149,2021-11-10 02:12:08
246997,178730,0,3552,3151,2021-11-10 02:17:07
247107,178765,0,3563,3147,2021-11-10 02:22:16
247153,178765,4,3567,3147,2021-11-10 02:27:16
247156,178765,4,3581,3148,2021-11-10 02:32:14
247208,178789,4,3576,3148,2021-11-10 02:37:12
247244,178803,4,3570,3147,2021-11-10 02:42:10
247353,178852,0,3561,3148,2021-11-10 02:47:18
247446,178877,0,3572,3146,2021-11-10 02:52:26
247462,178887,4,3580,3149,2021-11-10 02:57:14
247500,178887,4,3602,3145,2021-11-10 03:02:22
247532,178887,4,3592,3146,2021-11-10 03:07:19
247547,178887,4,3583,3145,2021-11-10 03:12:17
247561,178887,4,3578,3150,2021-11-10 03:17:25
247599,178887,4,3584,3146,2021-11-10 03:22:23
247602,178887,4,3566,3146,2021-11-10 03:27:21
247649,178897,4,3571,3145,2021-11-10 03:32:29
247716,178909,4,3574,3145,2021-11-10 03:37:27
247851,178994,0,3571,3144,2021-11-10 03:42:25
247999,179094,0,3555,3145,2021-11-10 03:47:33
248032,179094,4,3567,3149,2021-11-10 03:52:31
248036,179094,4,3594,3146,2021-11-10 03:57:29
248052,179094,4,3620,3150,2021-11-10 04:02:27
248074,179094,4,3610,3149,2021-11-10 04:07:35
248084,179094,4,3596,3146,2021-11-10 04:12:33
248105,179094,4,3593,3146,2021-11-10 04:17:41
248120,179094,4,3594,3146,2021-11-10 04:22:49
248135,179094,4,3592,3149,2021-11-10 04:27:37
248163,179105,4,3591,3148,2021-11-10 04:32:45
248178,179105,4,3588,3145,2021-11-10 04:37:43
248374,179213,0,3584,3146,2021-11-10 04:42:41
248413,179213,4,3588,3143,2021-11-10 04:47:39
248422,179213,4,3594,3146,2021-11-10 04:52:47
248471,179213,4,3597,3149,2021-11-10 04:57:45
248500,179213,4,3590,3148,2021-11-10 05:02:43
248528,179213,4,3586,3145,2021-11-10 05:07:51
248551,179224,4,3574,3150,2021-11-10 05:12:58
248575,179234,4,3577,3146,2021-11-10 05:17:46
248664,179278,0,3597,3145,2021-11-10 05:22:54
248815,179387,0,3608,3149,2021-11-10 05:27:52
249084,179634,0,3626,3150,2021-11-10 05:33:00
249217,179692,4,3648,3145,2021-11-10 05:37:58
249316,179725,0,3633,3150,2021-11-10 05:43:06
249333,179725,4,3633,3149,2021-11-10 05:48:04
249522,179822,4,3630,3146,2021-11-10 05:53:02
249726,179983,0,3637,3150,2021-11-10 05:58:10
249773,179983,4,3635,3146,2021-11-10 06:03:08
249862,180004,4,3631,3147,2021-11-10 06:08:06
249977,180042,0,3622,3148,2021-11-10 06:13:14
250277,180342,0,3644,3145,2021-11-10 06:18:12
250576,180641,0,3653,3147,2021-11-10 06:23:10
250886,180951,0,3651,3149,2021-11-10 06:28:17
251186,181251,0,3663,3147,2021-11-10 06:33:15
251486,181551,0,3663,3146,2021-11-10 06:38:13
251794,181858,0,3661,3147,2021-11-10 06:43:21
252088,182150,0,3668,3148,2021-11-10 06:48:19
252279,182312,0,3628,3151,2021-11-10 06:53:27
252575,182599,0,3642,3151,2021-11-10 06:58:25
252804,182780,0,3624,3146,2021-11-10 07:03:23
252942,182854,0,3600,3147,2021-11-10 07:08:31
253165,183022,0,3591,3146,2021-11-10 07:13:29
253355,183157,0,3620,3146,2021-11-10 07:18:27
253474,183207,4,3595,3146,2021-11-10 07:23:35
253629,183271,4,3602,3146,2021-11-10 07:28:33
253639,183271,4,3602,3149,2021-11-10 07:33:31
253673,183271,4,3606,3149,2021-11-10 07:38:49
253676,183271,4,3610,3149,2021-11-10 07:43:37
253704,183271,4,3610,3144,2021-11-10 07:48:35
253909,183405,0,3615,3148,2021-11-10 07:53:33
254039,183449,4,3631,3146,2021-11-10 07:58:41
254186,183525,0,3626,3151,2021-11-10 08:03:38
254266,183547,4,3595,3146,2021-11-10 08:08:37
254336,183560,4,3620,3146,2021-11-10 08:13:44
254468,183658,0,3659,3153,2021-11-10 08:18:42
254567,183703,4,3657,3150,2021-11-10 08:23:50
254660,183729,4,3648,3147,2021-11-10 08:28:48
254696,183739,4,3680,3150,2021-11-10 08:33:46
254708,183739,4,3691,3151,2021-11-10 08:38:54
254723,183739,4,3716,3150,2021-11-10 08:43:52
254727,183739,4,3731,3151,2021-11-10 08:49:00
254741,183739,4,3754,3151,2021-11-10 08:53:58
254811,183739,4,3737,3151,2021-11-10 08:58:55
254908,183756,4,3742,3150,2021-11-10 09:04:03
255029,183838,0,3760,3155,2021-11-10 09:09:01
255180,183975,0,3757,3150,2021-11-10 09:14:39
255183,183975,4,3727,3151,2021-11-10 09:21:36
255252,183998,4,3716,3152,2021-11-10 09:26:34
255297,183998,4,3723,3156,2021-11-10 09:31:42
255318,183998,4,3709,3151,2021-11-10 09:36:40
255328,183998,4,3714,3151,2021-11-10 09:41:47
255344,183998,4,3714,3148,2021-11-10 09:46:45
255376,183998,4,3701,3156,2021-11-10 09:51:43
255379,183998,4,3691,3153,2021-11-10 09:56:51
255405,183998,4,3689,3149,2021-11-10 10:01:49
255466,183998,4,3698,3152,2021-11-10 10:06:57
255474,183998,4,3723,3155,2021-11-10 10:11:55
255474,183998,4,3750,3153,2021-11-10 10:16:53
255477,183998,4,3752,3154,2021-11-10 10:22:00
255492,183998,4,3742,3150,2021-11-10 10:26:58
255501,183998,4,3723,3150,2021-11-10 10:32:06
255503,183998,4,3755,3153,2021-11-10 10:37:04
255527,183998,4,3707,3150,2021-11-10 10:42:02
255565,184018,4,3711,3153,2021-11-10 10:47:10
255624,184018,4,3740,3153,2021-11-10 10:52:08
255643,184018,4,3769,3150,2021-11-10 10:57:15
255656,184018,4,3767,3154,2021-11-10 11:02:23
255659,184018,4,3750,3149,2021-11-10 11:07:11
255700,184018,4,3727,3156,2021-11-10 11:12:19
255739,184018,4,3746,3151,2021-11-10 11:17:17
255741,184018,4,3756,3152,2021-11-10 11:22:25
255754,184018,4,3771,3150,2021-11-10 11:27:23
255763,184018,4,3746,3153,2021-11-10 11:32:21
255791,184018,4,3712,3151,2021-11-10 11:37:28
255850,184028,4,3734,3152,2021-11-10 11:42:26
255857,184028,4,3755,3151,2021-11-10 11:47:34
255866,184028,4,3765,3149,2021-11-10 11:52:32
255869,184028,4,3727,3153,2021-11-10 11:57:30
255881,184028,4,3712,3153,2021-11-10 12:02:38
255882,184028,4,3709,3151,2021-11-10 12:07:36
256059,184153,0,3666,3152,2021-11-10 12:12:43
256118,184165,4,3649,3149,2021-11-10 12:17:51
256202,184205,0,3642,3154,2021-11-10 12:22:39
256348,184252,4,3631,3149,2021-11-10 12:27:47
256371,184252,4,3619,3152,2021-11-10 12:32:45
256447,184284,0,3619,3151,2021-11-10 12:37:43
256568,184344,0,3592,3151,2021-11-10 12:42:51
256666,184367,4,3624,3152,2021-11-10 12:47:49
256762,184456,0,3619,3149,2021-11-10 12:52:47
256995,184658,0,3630,3153,2021-11-10 12:57:55
257197,184787,0,3631,3148,2021-11-10 13:02:53
257479,185039,0,3626,3151,2021-11-10 13:08:01
257649,185156,0,3597,3150,2021-11-10 13:12:59
257872,185318,4,3593,3150,2021-11-10 13:17:57
257932,185318,4,3611,3149,2021-11-10 13:22:55
258093,185420,0,3603,3152,2021-11-10 13:28:02
258362,185666,0,3599,3150,2021-11-10 13:33:00
258671,185975,0,3617,3148,2021-11-10 13:38:08
258971,186275,0,3640,3148,2021-11-10 13:43:06
259271,186575,0,3640,3152,2021-11-10 13:48:04
259581,186885,0,3650,3151,2021-11-10 13:53:12
259881,187185,0,3642,3149,2021-11-10 13:58:10
260182,187485,0,3659,3147,2021-11-10 14:03:08
260491,187795,0,3666,3146,2021-11-10 14:08:16
260787,188091,0,3667,3150,2021-11-10 14:13:14
261084,188354,0,3649,3147,2021-11-10 14:18:23
261138,188354,4,3639,3144,2021-11-10 14:23:20
261143,188354,4,3646,3147,2021-11-10 14:28:17
261165,188354,4,3649,3150,2021-11-10 14:33:33
261233,188365,4,3657,3153,2021-11-10 14:38:20
261302,188402,4,3655,3148,2021-11-10 14:43:17
261433,188515,4,3640,3150,2021-11-10 14:48:24
261540,188536,4,3633,3150,2021-11-10 14:53:20
261584,188536,4,3637,3150,2021-11-10 14:58:27
261643,188547,0,3637,3150,2021-11-10 15:03:24
261804,188617,0,3640,3150,2021-11-10 15:08:21
261915,188644,0,3650,3151,2021-11-10 15:13:28
262038,188690,0,3608,3149,2021-11-10 15:18:24
262130,188737,0,3594,3147,2021-11-10 15:23:31
262241,188781,0,3594,3149,2021-11-10 15:28:28
262268,188781,4,3600,3149,2021-11-10 15:33:25
262318,188781,4,3596,3145,2021-11-10 15:38:31
262491,188867,0,3597,3145,2021-11-10 15:43:28
262670,188981,0,3601,3147,2021-11-10 15:48:35
262802,189005,0,3604,3147,2021-11-10 15:53:32
263042,189186,0,3595,3145,2021-11-10 15:58:29
263174,189225,4,3633,3145,2021-11-10 16:03:35
263241,189225,4,3657,3150,2021-11-10 16:08:32
263346,189302,0,3653,3151,2021-11-10 16:13:39
263445,189354,0,3659,3146,2021-11-10 16:18:36
263505,189368,4,3667,3148,2021-11-10 16:23:32
263524,189368,4,3694,3149,2021-11-10 16:28:39
263634,189419,4,3718,3149,2021-11-10 16:33:36
263645,189419,4,3691,3148,2021-11-10 16:38:42
263673,189419,4,3666,3149,2021-11-10 16:43:39
263693,189419,4,3668,3148,2021-11-10 16:48:36
263712,189429,4,3694,3148,2021-11-10 16:53:43
263774,189457,0,3729,3146,2021-11-10 16:58:39
263803,189457,4,3757,3149,2021-11-10 17:03:46
263814,189457,4,3765,3151,2021-11-10 17:08:43
263840,189457,4,3760,3149,2021-11-10 17:13:40
263844,189457,4,3771,3150,2021-11-10 17:18:46
263844,189457,4,3777,3152,2021-11-10 17:23:53
263850,189457,4,3767,3150,2021-11-10 17:28:49
263897,189467,0,3769,3150,2021-11-10 17:33:46
263928,189467,4,3752,3150,2021-11-10 17:38:43
263943,189467,4,3750,3152,2021-11-10 17:43:59
263951,189467,4,3754,3149,2021-11-10 17:48:46
263978,189467,4,3746,3150,2021-11-10 17:53:53
263986,189467,4,3752,3153,2021-11-10 17:58:50
264167,189623,0,3725,3153,2021-11-10 18:03:46
264441,189888,0,3693,3151,2021-11-10 18:08:53
264741,190188,0,3684,3150,2021-11-10 18:13:50
265052,190498,0,3692,3149,2021-11-10 18:18:57
265351,190797,0,3685,3151,2021-11-10 18:23:53
265651,191097,0,3698,3149,2021-11-10 18:28:50
265954,191401,0,3696,3149,2021-11-10 18:33:57
266254,191701,0,3707,3148,2021-11-10 18:38:54
266564,192011,0,3716,3154,2021-11-10 18:44:00
266851,192283,0,3711,3151,2021-11-10 18:48:57
267002,192380,4,3682,3153,2021-11-10 18:53:54
267152,192438,0,3668,3152,2021-11-10 18:59:01
267235,192450,4,3666,3147,2021-11-10 19:03:57
267288,192450,4,3668,3149,2021-11-10 19:09:04
267413,192466,0,3670,3152,2021-11-10 19:14:01
267510,192486,4,3668,3145,2021-11-10 19:18:58
267521,192486,4,3666,3148,2021-11-10 19:24:04
267530,192486,4,3659,3146,2021-11-10 19:29:01
267540,192486,4,3667,3149,2021-11-10 19:34:08
267589,192486,4,3670,3148,2021-11-10 19:39:05
267594,192486,4,3672,3149,2021-11-10 19:44:01
267679,192499,0,3680,3151,2021-11-10 19:49:08
267737,192499,4,3675,3149,2021-11-10 19:54:05
267805,192499,4,3670,3149,2021-11-10 19:59:12
267809,192499,4,3670,3149,2021-11-10 20:04:08
267842,192499,4,3685,3148,2021-11-10 20:09:05
267842,192499,4,3678,3150,2021-11-10 20:14:12
267899,192524,0,3670,3148,2021-11-10 20:19:09
267959,192539,0,3680,3148,2021-11-10 20:24:15
267966,192539,4,3689,3150,2021-11-10 20:29:12
268005,192539,4,3692,3152,2021-11-10 20:34:09
268047,192539,4,3696,3149,2021-11-10 20:39:16
268053,192539,4,3694,3149,2021-11-10 20:44:12
268097,192549,4,3682,3147,2021-11-10 20:49:19
268207,192585,4,3666,3147,2021-11-10 20:54:16
268260,192610,4,3678,3150,2021-11-10 20:59:13
268295,192621,4,3682,3151,2021-11-10 21:04:19
268337,192621,4,3670,3148,2021-11-10 21:09:16
268456,192713,0,3655,3147,2021-11-10 21:14:23
268627,192829,4,3696,3150,2021-11-10 21:19:20
268630,192829,4,3709,3151,2021-11-10 21:24:16
268640,192829,4,3746,3150,2021-11-10 21:29:23
268640,192829,4,3767,3152,2021-11-10 21:34:20
268640,192829,4,3773,3151,2021-11-10 21:39:26
268668,192829,4,3776,3150,2021-11-10 21:44:23
268727,192846,4,3780,3154,2021-11-10 21:49:20
268739,192846,4,3790,3152,2021-11-10 21:54:26
268747,192846,4,3796,3152,2021-11-10 21:59:23
268758,192846,4,3820,3155,2021-11-10 22:04:30
268758,192846,4,3820,3153,2021-11-10 22:09:26
268760,192846,4,3820,3155,2021-11-10 22:14:23
268774,192846,4,3821,3154,2021-11-10 22:19:30
268780,192846,4,3809,3155,2021-11-10 22:24:26
268820,192846,4,3803,3152,2021-11-10 22:29:53
268820,192846,4,3773,3152,2021-11-10 22:34:49
268877,192866,4,3760,3154,2021-11-10 22:42:05
268951,192879,4,3773,3152,2021-11-10 22:47:01
268960,192879,4,3790,3154,2021-11-10 22:51:58
268981,192879,4,3776,3152,2021-11-10 22:57:05
268994,192879,4,3789,3153,2021-11-10 23:02:01
269001,192879,4,3799,3151,2021-11-10 23:07:08
269020,192879,4,3780,3152,2021-11-10 23:12:05
269021,192879,4,3763,3152,2021-11-10 23:17:01
269097,192890,4,3769,3154,2021-11-10 23:22:08
269143,192890,4,3756,3154,2021-11-10 23:27:05
269166,192890,4,3780,3154,2021-11-10 23:32:11
269189,192890,4,3771,3152,2021-11-10 23:37:08
269206,192890,4,3751,3153,2021-11-10 23:42:05
269206,192890,4,3740,3151,2021-11-10 23:47:11
269286,192890,4,3748,3155,2021-11-10 23:52:08
269490,193035,0,3748,3155,2021-11-10 23:57:15
269666,193136,0,3711,3151,2021-11-11 00:02:12
269769,193172,0,3691,3151,2021-11-11 00:07:08
269878,193194,4,3682,3148,2021-11-11 00:12:15
270001,193223,0,3675,3147,2021-11-11 00:17:12
270113,193269,4,3675,3152,2021-11-11 00:22:18
270181,193289,4,3678,3150,2021-11-11 00:27:15
270185,193289,4,3670,3150,2021-11-11 00:32:12
270208,193289,4,3667,3149,2021-11-11 00:37:19
270237,193300,0,3680,3153,2021-11-11 00:42:15
270291,193312,4,3689,3149,2021-11-11 00:47:22
270345,193312,4,3661,3150,2021-11-11 00:52:19
270383,193312,4,3653,3150,2021-11-11 00:57:16
270396,193312,4,3666,3150,2021-11-11 01:02:22
270411,193312,4,3670,3151,2021-11-11 01:07:19
270414,193312,4,3689,3153,2021-11-11 01:12:26
270442,193312,4,3670,3153,2021-11-11 01:17:33
270450,193312,4,3687,3149,2021-11-11 01:22:29
270471,193312,4,3687,3153,2021-11-11 01:27:26
270541,193340,4,3663,3149,2021-11-11 01:32:23
270558,193340,4,3655,3149,2021-11-11 01:37:30
270593,193350,4,3661,3150,2021-11-11 01:42:26
270689,193396,4,3661,3154,2021-11-11 01:47:33
270847,193456,4,3657,3149,2021-11-11 01:52:30
270857,193456,4,3657,3148,2021-11-11 01:57:27
270872,193456,4,3650,3146,2021-11-11 02:02:33
270950,193497,0,3655,3149,2021-11-11 02:07:30
271047,193526,4,3653,3147,2021-11-11 02:12:29
271116,193526,4,3653,3151,2021-11-11 02:17:36
271240,193568,0,3651,3150,2021-11-11 02:22:34
271312,193604,0,3667,3153,2021-11-11 02:27:42
271367,193615,4,3659,3151,2021-11-11 02:32:39
271432,193626,4,3653,3149,2021-11-11 02:37:37
271459,193626,4,3648,3149,2021-11-11 02:42:45
271512,193638,4,3649,3148,2021-11-11 02:47:42
271518,193638,4,3653,3149,2021-11-11 02:52:50
271553,193638,4,3649,3149,2021-11-11 02:57:48
271617,193651,4,3655,3148,2021-11-11 03:02:45
271637,193651,4,3655,3153,2021-11-11 03:07:53
271655,193651,4,3655,3151,2021-11-11 03:12:51
271743,193688,4,3622,3148,2021-11-11 03:17:58
271921,193809,0,3639,3149,2021-11-11 03:22:56
272129,193970,0,3655,3151,2021-11-11 03:27:53
272172,193970,4,3663,3150,2021-11-11 03:33:01
272190,193970,4,3670,3151,2021-11-11 03:37:59
272206,193970,4,3668,3151,2021-11-11 03:43:06
272298,194048,4,3668,3152,2021-11-11 03:48:04
272309,194048,4,3687,3150,2021-11-11 03:53:02
272321,194048,4,3696,3152,2021-11-11 03:58:09
272399,194082,4,3670,3152,2021-11-11 04:03:07
272455,194082,4,3707,3152,2021-11-11 04:08:14
272478,194082,4,3727,3151,2021-11-11 04:13:12
272479,194082,4,3743,3154,2021-11-11 04:18:10
272495,194082,4,3750,3151,2021-11-11 04:23:17
272495,194082,4,3731,3151,2021-11-11 04:28:15
272510,194082,4,3725,3149,2021-11-11 04:33:22
272513,194082,4,3750,3154,2021-11-11 04:38:20
272555,194093,4,3760,3155,2021-11-11 04:43:18
272670,194122,0,3732,3155,2021-11-11 04:48:25
272726,194133,4,3725,3152,2021-11-11 04:53:22
272826,194133,4,3721,3154,2021-11-11 04:58:30
