运动量,活跃时长,活跃状态,温度,电压,时间
147395,92407,4,3546,3187,2021-11-10 00:00:59
147397,92407,4,3549,3187,2021-11-10 00:05:52
147401,92407,4,3532,3186,2021-11-10 00:10:54
147403,92407,4,3539,3185,2021-11-10 00:15:57
147404,92407,4,3551,3184,2021-11-10 00:20:59
147404,92407,4,3564,3184,2021-11-10 00:26:02
147410,92407,4,3571,3187,2021-11-10 00:30:54
147412,92407,4,3568,3188,2021-11-10 00:35:57
147412,92407,4,3577,3185,2021-11-10 00:41:09
147423,92407,4,3595,3186,2021-11-10 00:46:02
147432,92407,4,3580,3186,2021-11-10 00:51:04
147434,92407,4,3566,3186,2021-11-10 00:55:56
147436,92407,4,3570,3182,2021-11-10 01:00:59
147436,92407,4,3560,3183,2021-11-10 01:06:01
147444,92407,4,3544,3185,2021-11-10 01:11:04
147447,92407,4,3546,3182,2021-11-10 01:16:06
147448,92407,4,3544,3183,2021-11-10 01:20:59
147454,92407,4,3544,3186,2021-11-10 01:26:01
147456,92407,4,3560,3184,2021-11-10 01:31:04
147457,92407,4,3546,3185,2021-11-10 01:36:06
147459,92407,4,3549,3185,2021-11-10 01:41:09
147482,92407,4,3558,3186,2021-11-10 01:46:01
147493,92407,4,3548,3187,2021-11-10 01:51:03
147493,92407,4,3562,3184,2021-11-10 01:56:06
147494,92407,4,3560,3184,2021-11-10 02:01:08
147496,92407,4,3553,3185,2021-11-10 02:06:11
147496,92407,4,3555,3182,2021-11-10 02:11:03
147501,92407,4,3551,3185,2021-11-10 02:16:06
147503,92407,4,3550,3186,2021-11-10 02:25:40
147505,92407,4,3551,3186,2021-11-10 02:31:13
147505,92407,4,3557,3184,2021-11-10 02:36:05
147505,92407,4,3544,3184,2021-11-10 02:41:08
147507,92407,4,3555,3186,2021-11-10 02:46:10
147527,92407,4,3542,3186,2021-11-10 02:51:13
147539,92407,4,3518,3183,2021-11-10 02:56:15
147541,92407,4,3552,3185,2021-11-10 03:01:08
147543,92407,4,3555,3185,2021-11-10 03:06:10
147544,92407,4,3562,3186,2021-11-10 03:11:13
147544,92407,4,3566,3187,2021-11-10 03:16:16
147649,92468,0,3376,3187,2021-11-10 03:21:18
147652,92468,4,3479,3184,2021-11-10 03:26:20
147656,92468,4,3568,3187,2021-11-10 03:31:21
147657,92468,4,3595,3187,2021-11-10 03:36:23
147657,92468,4,3609,3187,2021-11-10 03:41:24
147666,92468,4,3601,3182,2021-11-10 03:46:26
147666,92468,4,3618,3188,2021-11-10 03:51:27
147666,92468,4,3612,3183,2021-11-10 03:56:29
147666,92468,4,3612,3184,2021-11-10 04:01:31
147678,92468,4,3549,3186,2021-11-10 04:06:32
147678,92468,4,3533,3185,2021-11-10 04:11:44
147706,92468,4,3537,3182,2021-11-10 04:16:36
147719,92468,4,3610,3187,2021-11-10 04:21:37
147727,92468,4,3625,3188,2021-11-10 04:26:39
147752,92468,4,3594,3186,2021-11-10 04:31:40
147771,92468,4,3614,3185,2021-11-10 04:36:42
147771,92468,4,3630,3180,2021-11-10 04:41:44
147777,92468,4,3637,3182,2021-11-10 04:46:55
147832,92486,0,3555,3183,2021-11-10 04:51:47
147851,92486,4,3553,3185,2021-11-10 04:56:48
147926,92486,4,3537,3185,2021-11-10 05:01:50
148013,92507,4,3520,3185,2021-11-10 05:07:02
148061,92507,4,3520,3185,2021-11-10 05:12:03
148061,92507,4,3512,3184,2021-11-10 05:16:55
148165,92568,0,3502,3184,2021-11-10 05:21:56
148177,92568,4,3484,3186,2021-11-10 05:26:58
148222,92580,4,3451,3185,2021-11-10 05:31:59
148340,92651,0,3406,3185,2021-11-10 05:37:01
148397,92679,4,3445,3189,2021-11-10 05:42:03
148598,92865,0,3489,3183,2021-11-10 05:47:04
148646,92890,4,3469,3189,2021-11-10 05:52:06
148770,92959,0,3445,3186,2021-11-10 05:57:07
148790,92959,4,3467,3184,2021-11-10 06:02:09
148792,92959,4,3454,3188,2021-11-10 06:07:11
148886,93047,0,3466,3188,2021-11-10 06:12:12
149158,93266,0,3443,3183,2021-11-10 06:17:14
149417,93420,0,3415,3184,2021-11-10 06:22:15
149639,93543,0,3390,3186,2021-11-10 06:27:17
149881,93710,0,3395,3183,2021-11-10 06:32:18
150064,93813,0,3404,3184,2021-11-10 06:37:30
150184,93854,4,3450,3188,2021-11-10 06:42:22
150306,93886,4,3544,3184,2021-11-10 06:47:23
