运动量,活跃时长,活跃状态,温度,电压,时间
179763,131183,4,3538,3153,2021-11-10 08:38:47
179763,131183,4,3567,3152,2021-11-10 08:43:47
179763,131183,4,3594,3155,2021-11-10 08:48:57
179763,131183,4,3601,3158,2021-11-10 08:53:57
179777,131183,4,3600,3155,2021-11-10 08:58:56
179841,131211,4,3593,3151,2021-11-10 09:03:56
179851,131211,4,3628,3157,2021-11-10 09:08:56
179852,131211,4,3653,3153,2021-11-10 09:14:06
179852,131211,4,3657,3156,2021-11-10 09:19:05
179852,131211,4,3660,3155,2021-11-10 09:24:05
179852,131211,4,3659,3158,2021-11-10 09:29:05
179852,131211,4,3664,3154,2021-11-10 09:34:05
179852,131211,4,3667,3158,2021-11-10 09:39:14
179852,131211,4,3667,3155,2021-11-10 09:44:14
179860,131211,4,3667,3156,2021-11-10 09:49:14
179860,131211,4,3668,3157,2021-11-10 09:54:14
179896,131221,4,3659,3154,2021-11-10 09:59:23
179905,131221,4,3672,3155,2021-11-10 10:04:23
179907,131221,4,3668,3154,2021-11-10 10:09:23
179909,131221,4,3664,3155,2021-11-10 10:14:23
179947,131221,4,3667,3156,2021-11-10 10:19:22
179947,131221,4,3666,3163,2021-11-10 10:24:22
179947,131221,4,3657,3159,2021-11-10 10:29:32
179949,131221,4,3661,3156,2021-11-10 10:34:32
179949,131221,4,3660,3153,2021-11-10 10:39:31
179955,131221,4,3666,3155,2021-11-10 10:44:31
179958,131221,4,3666,3154,2021-11-10 10:49:31
180023,131240,0,3660,3156,2021-11-10 10:54:41
180086,131272,4,3650,3153,2021-11-10 10:59:40
180094,131272,4,3628,3155,2021-11-10 11:04:40
180111,131272,4,3617,3158,2021-11-10 11:09:40
180174,131282,4,3606,3155,2021-11-10 11:14:40
180201,131282,4,3597,3155,2021-11-10 11:19:49
180245,131282,4,3602,3152,2021-11-10 11:24:49
180324,131282,4,3589,3156,2021-11-10 11:29:51
180395,131293,4,3619,3159,2021-11-10 11:35:03
180511,131338,0,3558,3158,2021-11-10 11:39:55
180532,131338,4,3539,3156,2021-11-10 11:44:47
180693,131438,0,3520,3153,2021-11-10 11:49:49
180830,131485,0,3498,3155,2021-11-10 11:54:51
180845,131485,4,3541,3154,2021-11-10 11:59:54
180846,131485,4,3588,3152,2021-11-10 12:04:56
180846,131485,4,3605,3155,2021-11-10 12:09:48
180858,131485,4,3581,3155,2021-11-10 12:14:50
180877,131485,4,3541,3157,2021-11-10 12:19:52
180888,131485,4,3520,3152,2021-11-10 12:24:54
180896,131485,4,3552,3153,2021-11-10 12:29:56
180911,131485,4,3514,3153,2021-11-10 12:34:58
180924,131485,4,3525,3153,2021-11-10 12:39:50
180975,131499,4,3432,3152,2021-11-10 12:45:02
181011,131499,4,3468,3152,2021-11-10 12:50:24
181099,131528,4,3513,3156,2021-11-10 12:57:27
181108,131528,4,3527,3156,2021-11-10 13:02:29
181152,131528,4,3516,3155,2021-11-10 13:07:31
181210,131553,0,3525,3156,2021-11-10 13:12:24
181220,131553,4,3536,3159,2021-11-10 13:17:26
181262,131553,4,3536,3157,2021-11-10 13:22:28
181461,131696,0,3518,3155,2021-11-10 13:27:30
181725,131920,0,3546,3154,2021-11-10 13:32:32
181993,132132,0,3546,3155,2021-11-10 13:37:44
182243,132338,0,3574,3155,2021-11-10 13:42:26
182502,132540,0,3570,3153,2021-11-10 13:47:28
182669,132692,0,3514,3151,2021-11-10 13:52:30
182931,132912,0,3550,3149,2021-11-10 13:57:32
183137,133027,0,3576,3153,2021-11-10 14:02:34
183363,133180,0,3557,3155,2021-11-10 14:07:26
183551,133281,0,3550,3153,2021-11-10 14:12:28
183597,133281,4,3581,3153,2021-11-10 14:17:30
183624,133281,4,3557,3152,2021-11-10 14:22:32
183687,133291,4,3544,3153,2021-11-10 14:27:34
183890,133395,0,3550,3151,2021-11-10 14:32:36
184081,133480,0,3554,3152,2021-11-10 14:37:39
184285,133598,0,3543,3151,2021-11-10 14:42:31
184305,133598,4,3534,3150,2021-11-10 14:47:33
184326,133598,4,3538,3155,2021-11-10 14:52:35
184340,133598,4,3569,3152,2021-11-10 14:57:37
184359,133598,4,3559,3150,2021-11-10 15:02:49
184444,133598,4,3535,3153,2021-11-10 15:07:31
184659,133760,0,3509,3154,2021-11-10 15:12:33
184883,133914,0,3480,3148,2021-11-10 15:17:35
185077,134069,0,3441,3151,2021-11-10 15:22:37
185288,134192,0,3489,3150,2021-11-10 15:27:39
185329,134202,4,3521,3148,2021-11-10 15:32:31
185340,134202,4,3567,3151,2021-11-10 15:37:43
185342,134202,4,3628,3156,2021-11-10 15:42:35
185342,134202,4,3639,3153,2021-11-10 15:47:37
185342,134202,4,3637,3155,2021-11-10 15:52:39
185356,134202,4,3637,3154,2021-11-10 15:57:41
185373,134202,4,3631,3154,2021-11-10 16:02:43
185375,134202,4,3640,3155,2021-11-10 16:07:35
185379,134202,4,3640,3156,2021-11-10 16:12:38
185379,134202,4,3653,3150,2021-11-10 16:17:40
185380,134202,4,3639,3153,2021-11-10 16:22:42
185380,134202,4,3651,3154,2021-11-10 16:27:54
185386,134202,4,3644,3154,2021-11-10 16:32:36
185532,134236,0,3565,3154,2021-11-10 16:37:48
185621,134293,4,3563,3153,2021-11-10 16:42:40
185634,134293,4,3574,3153,2021-11-10 16:47:42
185688,134307,4,3552,3153,2021-11-10 16:52:44
185690,134307,4,3475,3152,2021-11-10 16:57:46
185690,134307,4,3504,3154,2021-11-10 17:02:38
185693,134307,4,3525,3153,2021-11-10 17:07:40
185699,134307,4,3543,3154,2021-11-10 17:12:42
185709,134307,4,3493,3156,2021-11-10 17:17:44
185709,134307,4,3530,3151,2021-11-10 17:22:47
185770,134344,4,3552,3152,2021-11-10 17:27:49
185885,134407,0,3433,3153,2021-11-10 17:32:41
185913,134407,4,3501,3152,2021-11-10 17:37:43
185915,134407,4,3565,3154,2021-11-10 17:42:45
185915,134407,4,3599,3156,2021-11-10 17:47:47
185915,134407,4,3608,3156,2021-11-10 17:52:49
185940,134407,4,3555,3154,2021-11-10 17:57:41
186049,134497,0,3559,3152,2021-11-10 18:02:43
186349,134797,0,3534,3152,2021-11-10 18:07:45
186649,135097,0,3567,3154,2021-11-10 18:12:47
186945,135380,0,3588,3153,2021-11-10 18:17:49
187226,135650,0,3584,3153,2021-11-10 18:22:51
187462,135770,0,3570,3153,2021-11-10 18:27:43
187703,135985,0,3554,3150,2021-11-10 18:32:45
187775,135985,4,3588,3150,2021-11-10 18:37:48
187782,135985,4,3646,3151,2021-11-10 18:42:50
187785,135985,4,3663,3156,2021-11-10 18:47:52
187789,135985,4,3663,3156,2021-11-10 18:52:54
187792,135985,4,3678,3155,2021-11-10 18:57:46
187792,135985,4,3672,3153,2021-11-10 19:04:19
187792,135985,4,3670,3151,2021-11-10 19:10:21
187796,135985,4,3668,3155,2021-11-10 19:15:23
187801,135985,4,3678,3151,2021-11-10 19:20:25
187817,135985,4,3689,3154,2021-11-10 19:26:28
187823,135985,4,3678,3155,2021-11-10 19:32:50
187824,135985,4,3672,3152,2021-11-10 19:37:53
187824,135985,4,3678,3156,2021-11-10 19:43:05
187824,135985,4,3683,3155,2021-11-10 19:47:57
187895,136014,4,3624,3153,2021-11-10 19:52:59
187895,136014,4,3637,3155,2021-11-10 19:58:01
187895,136014,4,3639,3153,2021-11-10 20:03:03
187895,136014,4,3659,3158,2021-11-10 20:07:55
187895,136014,4,3657,3156,2021-11-10 20:12:57
187895,136014,4,3655,3156,2021-11-10 20:17:59
187917,136014,4,3639,3159,2021-11-10 20:25:53
187919,136014,4,3644,3159,2021-11-10 20:32:15
187923,136014,4,3640,3154,2021-11-10 20:40:29
187928,136014,4,3640,3156,2021-11-10 20:52:14
187939,136014,4,3644,3154,2021-11-10 21:02:38
187960,136014,4,3621,3156,2021-11-10 21:08:10
187970,136014,4,3701,3157,2021-11-10 21:15:23
188023,136014,4,3640,3154,2021-11-10 21:20:35
188038,136027,4,3626,3153,2021-11-10 21:25:48
188038,136027,4,3617,3158,2021-11-10 21:31:00
188038,136027,4,3619,3157,2021-11-10 21:35:42
188038,136027,4,3626,3155,2021-11-10 21:40:54
188038,136027,4,3633,3154,2021-11-10 21:46:26
188038,136027,4,3639,3154,2021-11-10 21:53:19
188038,136027,4,3626,3152,2021-11-10 21:58:21
188046,136027,4,3639,3156,2021-11-10 22:03:13
188046,136027,4,3639,3157,2021-11-10 22:08:15
188092,136027,4,3619,3151,2021-11-10 22:13:17
188114,136027,4,3599,3155,2021-11-10 22:18:19
188117,136027,4,3626,3154,2021-11-10 22:23:21
188117,136027,4,3613,3156,2021-11-10 22:28:23
188124,136027,4,3600,3153,2021-11-10 22:33:46
188126,136027,4,3622,3155,2021-11-10 22:41:19
188126,136027,4,3628,3155,2021-11-10 22:46:01
188128,136027,4,3615,3153,2021-11-10 22:51:13
188137,136027,4,3626,3154,2021-11-10 22:55:55
188137,136027,4,3620,3152,2021-11-10 23:01:37
188142,136027,4,3611,3149,2021-11-10 23:08:30
188142,136027,4,3624,3153,2021-11-10 23:13:22
188163,136027,4,3604,3153,2021-11-10 23:18:24
188257,136067,0,3525,3155,2021-11-10 23:23:26
188331,136092,4,3460,3152,2021-11-10 23:28:28
188333,136092,4,3498,3149,2021-11-10 23:33:32
188333,136092,4,3521,3152,2021-11-10 23:38:32
188333,136092,4,3536,3153,2021-11-10 23:43:32
188342,136092,4,3546,3153,2021-11-10 23:48:33
188360,136092,4,3548,3151,2021-11-10 23:53:33
188360,136092,4,3530,3151,2021-11-10 23:58:33
188360,136092,4,3541,3153,2021-11-11 00:03:33
188362,136092,4,3543,3153,2021-11-11 00:08:34
188366,136092,4,3545,3152,2021-11-11 00:13:34
188371,136092,4,3536,3153,2021-11-11 00:18:34
188371,136092,4,3546,3155,2021-11-11 00:23:35
188380,136092,4,3539,3154,2021-11-11 00:28:35
188380,136092,4,3552,3152,2021-11-11 00:33:35
