运动量,活跃时长,活跃状态,温度,电压,时间
198221,137690,4,3714,3172,2021-11-10 00:03:14
198221,137690,4,3712,3171,2021-11-10 00:08:15
198241,137690,4,3707,3174,2021-11-10 00:13:17
198250,137690,4,3678,3171,2021-11-10 00:18:27
198253,137690,4,3680,3171,2021-11-10 00:23:27
198259,137690,4,3683,3175,2021-11-10 00:29:07
198318,137690,4,3736,3174,2021-11-10 00:35:57
198324,137690,4,3758,3172,2021-11-10 00:40:56
198344,137690,4,3760,3171,2021-11-10 00:46:06
198383,137690,4,3754,3173,2021-11-10 00:51:06
198450,137733,4,3745,3174,2021-11-10 00:56:16
198450,137733,4,3738,3172,2021-11-10 01:01:06
198456,137733,4,3723,3172,2021-11-10 01:06:05
198457,137733,4,3666,3174,2021-11-10 01:11:16
198467,137733,4,3655,3174,2021-11-10 01:16:15
198474,137733,4,3626,3173,2021-11-10 01:21:15
198479,137733,4,3661,3171,2021-11-10 01:26:15
198488,137733,4,3641,3173,2021-11-10 01:31:14
198507,137733,4,3628,3176,2021-11-10 01:36:24
198525,137733,4,3650,3171,2021-11-10 01:41:24
198537,137733,4,3663,3174,2021-11-10 01:46:24
198537,137733,4,3687,3175,2021-11-10 01:51:24
198546,137733,4,3690,3170,2021-11-10 01:56:33
198546,137733,4,3705,3173,2021-11-10 02:02:13
198546,137733,4,3694,3174,2021-11-10 02:08:23
198546,137733,4,3696,3171,2021-11-10 02:13:33
198548,137733,4,3707,3172,2021-11-10 02:19:12
198548,137733,4,3710,3171,2021-11-10 02:24:12
198562,137733,4,3692,3173,2021-11-10 02:31:12
198581,137733,4,3698,3177,2021-11-10 02:41:02
198595,137733,4,3689,3175,2021-11-10 02:46:41
198616,137733,4,3690,3172,2021-11-10 02:52:01
198620,137733,4,3703,3176,2021-11-10 02:59:01
198627,137733,4,3692,3174,2021-11-10 03:08:21
198628,137733,4,3682,3173,2021-11-10 03:13:50
198642,137733,4,3683,3173,2021-11-10 03:19:20
198654,137733,4,3666,3172,2021-11-10 03:24:20
198674,137733,4,3651,3170,2021-11-10 03:29:20
198687,137733,4,3601,3174,2021-11-10 03:34:30
198693,137733,4,3644,3173,2021-11-10 03:40:49
198704,137733,4,3657,3174,2021-11-10 03:47:09
198704,137733,4,3660,3174,2021-11-10 03:51:59
198715,137733,4,3650,3173,2021-11-10 03:57:09
198726,137733,4,3663,3177,2021-11-10 04:02:09
198726,137733,4,3670,3172,2021-11-10 04:07:08
198793,137765,0,3660,3168,2021-11-10 04:12:08
198876,137778,4,3657,3174,2021-11-10 04:17:08
198900,137778,4,3635,3173,2021-11-10 04:22:08
198913,137778,4,3642,3175,2021-11-10 04:27:28
198923,137778,4,3660,3174,2021-11-10 04:32:27
198928,137778,4,3634,3177,2021-11-10 04:37:17
198935,137778,4,3657,3174,2021-11-10 04:42:17
198958,137778,4,3646,3175,2021-11-10 04:47:47
198959,137778,4,3659,3170,2021-11-10 04:52:46
199001,137778,4,3663,3174,2021-11-10 05:00:56
199062,137778,4,3605,3171,2021-11-10 05:07:26
199152,137817,0,3573,3174,2021-11-10 05:12:26
199291,137847,4,3460,3176,2021-11-10 05:17:35
199467,137961,0,3487,3170,2021-11-10 05:22:35
199613,137992,4,3501,3174,2021-11-10 05:27:35
199815,138106,0,3530,3174,2021-11-10 05:32:35
199986,138136,4,3545,3174,2021-11-10 05:37:35
200068,138190,4,3556,3174,2021-11-10 05:42:44
200129,138200,4,3494,3176,2021-11-10 05:47:54
200182,138214,4,3565,3174,2021-11-10 05:53:14
200203,138214,4,3583,3170,2021-11-10 05:58:44
200219,138214,4,3596,3171,2021-11-10 06:05:43
200370,138325,0,3501,3171,2021-11-10 06:12:53
200666,138616,0,3554,3170,2021-11-10 06:17:53
200960,138909,0,3547,3175,2021-11-10 06:22:53
201235,139144,0,3519,3176,2021-11-10 06:27:52
201505,139335,0,3556,3173,2021-11-10 06:33:02
201751,139442,0,3544,3173,2021-11-10 06:38:12
202016,139666,0,3485,3176,2021-11-10 06:43:12
202173,139788,0,3476,3174,2021-11-10 06:48:12
202376,139931,0,3471,3177,2021-11-10 06:53:02
202578,139996,0,3480,3172,2021-11-10 06:58:11
202723,140012,4,3467,3169,2021-11-10 07:03:11
202848,140047,4,3414,3176,2021-11-10 07:08:11
202903,140061,0,3437,3171,2021-11-10 07:13:11
202937,140061,4,3442,3173,2021-11-10 07:18:11
202952,140071,0,3451,3171,2021-11-10 07:23:20
203161,140175,0,3425,3171,2021-11-10 07:28:20
203181,140175,4,3379,3172,2021-11-10 07:33:30
203181,140175,4,3397,3170,2021-11-10 07:39:00
203239,140189,4,3453,3174,2021-11-10 07:45:59
203277,140189,4,3507,3173,2021-11-10 07:51:09
203394,140204,0,3442,3175,2021-11-10 07:55:59
203548,140237,4,3373,3174,2021-11-10 08:00:59
203624,140237,4,3382,3173,2021-11-10 08:05:59
203647,140237,4,3420,3169,2021-11-10 08:11:08
203711,140250,0,3448,3173,2021-11-10 08:16:08
203781,140277,4,3449,3170,2021-11-10 08:21:08
203800,140277,4,3437,3171,2021-11-10 08:26:08
203883,140321,0,3476,3175,2021-11-10 08:32:18
203907,140321,4,3530,3172,2021-11-10 08:37:47
203923,140321,4,3547,3172,2021-11-10 08:43:47
203925,140321,4,3562,3175,2021-11-10 08:49:07
203925,140321,4,3585,3176,2021-11-10 08:56:16
203933,140321,4,3590,3176,2021-11-10 09:01:26
203940,140321,4,3569,3171,2021-11-10 09:06:36
203941,140321,4,3605,3175,2021-11-10 09:11:26
203941,140321,4,3612,3170,2021-11-10 09:16:25
203941,140321,4,3609,3172,2021-11-10 09:21:25
203977,140321,4,3576,3173,2021-11-10 09:26:35
204019,140321,4,3618,3173,2021-11-10 09:31:35
204043,140321,4,3659,3174,2021-11-10 09:37:14
204048,140321,4,3680,3172,2021-11-10 09:46:04
204052,140321,4,3682,3175,2021-11-10 09:55:13
204074,140321,4,3664,3175,2021-11-10 10:01:43
204074,140321,4,3668,3172,2021-11-10 10:06:43
204074,140321,4,3668,3173,2021-11-10 10:11:43
204074,140321,4,3675,3171,2021-11-10 10:16:52
204078,140321,4,3682,3170,2021-11-10 10:21:52
204094,140321,4,3694,3175,2021-11-10 10:26:52
204122,140321,4,3675,3174,2021-11-10 10:32:22
204167,140321,4,3685,3171,2021-11-10 10:39:21
204209,140321,4,3694,3171,2021-11-10 10:45:41
204224,140321,4,3696,3173,2021-11-10 10:52:41
204294,140321,4,3698,3174,2021-11-10 10:59:10
204333,140321,4,3687,3173,2021-11-10 11:05:30
204361,140334,4,3692,3171,2021-11-10 11:12:00
204385,140334,4,3698,3173,2021-11-10 11:19:29
204391,140334,4,3683,3172,2021-11-10 11:28:19
204440,140344,4,3607,3171,2021-11-10 11:34:39
204502,140373,0,3609,3175,2021-11-10 11:39:38
204509,140373,4,3619,3175,2021-11-10 11:44:38
204509,140373,4,3622,3166,2021-11-10 11:49:48
204513,140373,4,3628,3170,2021-11-10 11:54:58
204514,140373,4,3633,3170,2021-11-10 11:59:47
204515,140373,4,3634,3170,2021-11-10 12:04:47
204515,140373,4,3639,3170,2021-11-10 12:09:47
