运动量,活跃时长,活跃状态,温度,电压,时间
165171,125154,4,3600,3153,2021-11-10 00:03:19
165200,125167,4,3597,3153,2021-11-10 00:08:18
165201,125167,4,3597,3154,2021-11-10 00:13:18
165201,125167,4,3584,3155,2021-11-10 00:18:17
165210,125167,4,3584,3150,2021-11-10 00:23:27
165213,125167,4,3592,3154,2021-11-10 00:28:27
165264,125199,0,3521,3151,2021-11-10 00:33:26
165265,125199,4,3499,3158,2021-11-10 00:38:26
165267,125199,4,3515,3154,2021-11-10 00:43:25
165323,125210,4,3496,3154,2021-11-10 00:48:35
165325,125210,4,3491,3156,2021-11-10 00:53:34
165326,125210,4,3502,3154,2021-11-10 00:58:34
165367,125228,4,3511,3155,2021-11-10 01:03:33
165370,125228,4,3532,3154,2021-11-10 01:08:33
165386,125228,4,3552,3152,2021-11-10 01:13:43
165403,125238,4,3547,3151,2021-11-10 01:18:42
165403,125238,4,3527,3156,2021-11-10 01:23:42
165413,125238,4,3521,3153,2021-11-10 01:28:41
165413,125238,4,3526,3149,2021-11-10 01:33:41
165413,125238,4,3530,3153,2021-11-10 01:38:42
165419,125238,4,3525,3151,2021-11-10 01:43:49
165423,125238,4,3536,3152,2021-11-10 01:48:46
165424,125238,4,3546,3150,2021-11-10 01:53:53
165433,125238,4,3543,3154,2021-11-10 01:58:50
165463,125238,4,3536,3152,2021-11-10 02:03:48
165473,125238,4,3521,3154,2021-11-10 02:08:55
165482,125238,4,3500,3156,2021-11-10 02:13:52
165543,125261,0,3447,3156,2021-11-10 02:18:59
165555,125261,4,3444,3153,2021-11-10 02:23:57
165556,125261,4,3471,3151,2021-11-10 02:29:04
165644,125261,4,3482,3153,2021-11-10 02:34:01
165648,125261,4,3462,3154,2021-11-10 02:38:58
165653,125261,4,3464,3153,2021-11-10 02:44:05
165808,125354,0,3433,3153,2021-11-10 02:49:02
165835,125366,4,3481,3155,2021-11-10 02:54:00
165847,125366,4,3514,3152,2021-11-10 02:59:07
165851,125366,4,3527,3154,2021-11-10 03:04:04
165858,125366,4,3507,3156,2021-11-10 03:09:11
165861,125366,4,3514,3151,2021-11-10 03:14:09
165894,125366,4,3512,3151,2021-11-10 03:19:06
165927,125377,4,3529,3152,2021-11-10 03:24:13
165974,125392,4,3442,3154,2021-11-10 03:29:10
165979,125392,4,3450,3152,2021-11-10 03:34:27
165983,125392,4,3453,3153,2021-11-10 03:39:14
165991,125392,4,3494,3150,2021-11-10 03:44:12
165998,125392,4,3525,3153,2021-11-10 03:49:19
166000,125392,4,3570,3151,2021-11-10 03:54:16
166002,125392,4,3617,3154,2021-11-10 03:59:23
166013,125392,4,3611,3152,2021-11-10 04:04:20
166064,125417,0,3606,3153,2021-11-10 04:09:18
166254,125564,0,3492,3151,2021-11-10 04:14:25
166305,125564,4,3468,3149,2021-11-10 04:19:22
166305,125564,4,3465,3156,2021-11-10 04:24:29
166307,125564,4,3473,3154,2021-11-10 04:29:26
166308,125564,4,3462,3149,2021-11-10 04:34:24
166342,125579,4,3457,3152,2021-11-10 04:39:31
166342,125579,4,3493,3153,2021-11-10 04:44:28
166346,125579,4,3505,3152,2021-11-10 04:49:35
166361,125579,4,3498,3153,2021-11-10 04:54:32
166379,125579,4,3466,3155,2021-11-10 04:59:30
166441,125610,0,3487,3153,2021-11-10 05:04:37
166526,125620,4,3440,3151,2021-11-10 05:09:34
166560,125630,4,3439,3152,2021-11-10 05:14:41
166560,125630,4,3443,3155,2021-11-10 05:19:39
166590,125643,4,3460,3157,2021-11-10 05:24:36
166593,125643,4,3459,3151,2021-11-10 05:29:43
166731,125727,0,3442,3151,2021-11-10 05:34:40
166732,125727,4,3435,3153,2021-11-10 05:39:47
166743,125727,4,3448,3154,2021-11-10 05:44:44
166772,125727,4,3440,3151,2021-11-10 05:49:42
166829,125754,0,3478,3152,2021-11-10 05:54:49
166859,125754,4,3442,3151,2021-11-10 05:59:46
166908,125776,4,3432,3153,2021-11-10 06:04:53
166920,125776,4,3464,3154,2021-11-10 06:09:51
167181,126020,0,3417,3151,2021-11-10 06:14:48
167485,126331,0,3392,3149,2021-11-10 06:19:55
167761,126598,0,3400,3154,2021-11-10 06:24:52
168057,126889,0,3374,3151,2021-11-10 06:29:59
168328,127141,0,3368,3153,2021-11-10 06:34:57
168430,127195,0,3360,3149,2021-11-10 06:39:54
168546,127234,0,3381,3151,2021-11-10 06:45:01
168779,127427,0,3404,3152,2021-11-10 06:49:58
168962,127543,0,3484,3155,2021-11-10 06:55:05
169082,127615,0,3466,3153,2021-11-10 07:00:03
169109,127615,4,3437,3153,2021-11-10 07:05:00
169168,127656,4,3435,3151,2021-11-10 07:10:07
169193,127656,4,3501,3152,2021-11-10 07:15:04
169278,127667,4,3480,3151,2021-11-10 07:20:11
169303,127667,4,3437,3152,2021-11-10 07:25:09
169345,127677,4,3446,3150,2021-11-10 07:30:06
169389,127700,4,3457,3152,2021-11-10 07:35:13
169391,127700,4,3496,3155,2021-11-10 07:40:10
169398,127700,4,3514,3149,2021-11-10 07:45:17
169404,127700,4,3554,3153,2021-11-10 07:50:15
169429,127700,4,3574,3150,2021-11-10 07:55:12
169467,127700,4,3534,3151,2021-11-10 08:00:19
169474,127700,4,3606,3150,2021-11-10 08:05:16
169474,127700,4,3631,3153,2021-11-10 08:10:24
169474,127700,4,3640,3151,2021-11-10 08:15:21
169481,127700,4,3670,3151,2021-11-10 08:20:18
169484,127700,4,3701,3147,2021-11-10 08:25:25
169488,127700,4,3720,3155,2021-11-10 08:30:23
169496,127700,4,3730,3155,2021-11-10 08:35:30
169506,127700,4,3740,3151,2021-11-10 08:40:27
169512,127700,4,3729,3149,2021-11-10 08:45:24
169512,127700,4,3773,3148,2021-11-10 08:50:31
169528,127700,4,3791,3147,2021-11-10 08:55:29
169528,127700,4,3735,3152,2021-11-10 09:00:36
169561,127719,0,3722,3148,2021-11-10 09:05:33
169563,127719,4,3723,3151,2021-11-10 09:10:30
169591,127719,4,3744,3151,2021-11-10 09:15:38
169593,127719,4,3735,3151,2021-11-10 09:20:35
169594,127719,4,3725,3153,2021-11-10 09:25:42
169596,127719,4,3733,3152,2021-11-10 09:30:39
169597,127719,4,3735,3152,2021-11-10 09:35:37
169603,127719,4,3737,3153,2021-11-10 09:40:44
169610,127719,4,3735,3149,2021-11-10 09:45:41
169611,127719,4,3773,3151,2021-11-10 09:50:48
169616,127719,4,3798,3155,2021-11-10 09:55:46
169618,127719,4,3765,3152,2021-11-10 10:00:43
169627,127719,4,3725,3155,2021-11-10 10:05:50
169632,127719,4,3727,3154,2021-11-10 10:10:47
169644,127719,4,3746,3153,2021-11-10 10:15:54
169659,127719,4,3769,3150,2021-11-10 10:20:52
169665,127719,4,3746,3154,2021-11-10 10:25:49
169670,127719,4,3720,3154,2021-11-10 10:30:56
169674,127719,4,3696,3152,2021-11-10 10:35:53
169696,127719,4,3683,3153,2021-11-10 10:41:00
169696,127719,4,3670,3154,2021-11-10 10:45:58
169700,127719,4,3683,3156,2021-11-10 10:50:55
169752,127731,4,3664,3156,2021-11-10 10:56:02
169855,127747,0,3572,3152,2021-11-10 11:00:59
169923,127770,4,3510,3151,2021-11-10 11:06:07
169950,127770,4,3485,3151,2021-11-10 11:11:04
170010,127770,4,3475,3156,2021-11-10 11:16:01
170027,127770,4,3466,3151,2021-11-10 11:21:08
170059,127770,4,3457,3150,2021-11-10 11:26:05
170157,127830,0,3491,3152,2021-11-10 11:31:13
170396,128027,0,3601,3155,2021-11-10 11:36:10
170405,128027,4,3530,3150,2021-11-10 11:41:07
170408,128027,4,3630,3151,2021-11-10 11:46:14
170446,128027,4,3596,3150,2021-11-10 11:51:12
170474,128037,4,3553,3150,2021-11-10 11:56:19
170487,128037,4,3507,3151,2021-11-10 12:01:16
170524,128051,4,3480,3153,2021-11-10 12:06:13
170527,128051,4,3482,3152,2021-11-10 12:11:20
170554,128062,4,3493,3153,2021-11-10 12:16:17
170635,128107,0,3550,3151,2021-11-10 12:21:25
170817,128245,4,3521,3152,2021-11-10 12:26:22
170862,128245,4,3489,3153,2021-11-10 12:31:19
170880,128245,4,3476,3150,2021-11-10 12:36:26
171042,128376,0,3516,3151,2021-11-10 12:41:33
171237,128509,0,3501,3150,2021-11-10 12:46:31
171325,128557,4,3509,3151,2021-11-10 12:51:28
171340,128557,4,3505,3150,2021-11-10 12:56:25
171452,128622,0,3509,3152,2021-11-10 13:01:32
171520,128659,4,3518,3149,2021-11-10 13:06:30
171555,128659,4,3531,3154,2021-11-10 13:11:37
171564,128659,4,3521,3149,2021-11-10 13:16:34
171722,128728,0,3505,3149,2021-11-10 13:21:31
